"company","domain","country","town","q1_verdict","tool_level","q1_rank","sell_angle","tool_evidence","q1_category","q1_reason","niche","source","Annual Revenue","Size","Industry","Description"
"Marburger Tapetenfabrik J.B. Schaefer GmbH & Co. KG","marburg.com","DE","Kirchhain","CANDIDATE A","NONE","2-NONE","1845, 290 people, collections by named international designers, and the customer journey still ends at posting a paper sample. Priority 1 || NO DESIGN STEP AT ALL. Sell the capability itself, as a value-add their customers get and their competitors already offer. Confirm by eye first: search indexes tool pages, it does not prove absence","Wallpaper search over 2,000 designs, EUR 1 samples, interactive digital catalogues. Browsing and sample ordering, no visualiser and no configurator","in scope","hand-verified priority on 14 Sept: PASS priority. One of Europe's oldest wallpaper makers, founded 1845, 290 employees, 100% made in Germany, and its collections are created by named international designers. Sells a","Murals & Wallcoverings","Heimtextil 2027","75M-200M","201-500 employees","Building Materials","Marburger Tapetenfabrik J.B. Schaefer GmbH & Co. KG is a building materials company based out of Bertram-Schaefer-Str. 11, Kirchhain, Kirchhain, Germany."
"Maruman Shokai. Co., Ltd.","tile-maruman.com","JP","Tajimi","CANDIDATE A","MANUAL","1-MANUAL","THE BEST HOOK IN THE WHOLE LIST. They have written the manual version of MEC Artworks AI into their own process page: a staff-made simulation, a posted sample book, and a wait for approval. 90 colours to choose between, by hand || REPLACE A HUMAN LOOP. They already sell the bespoke outcome and produce it with staff time: hand mock-ups, CAD drawings, sample books, glaze trials, meetings. The tool removes the wait, not the service. Strongest and least contested pitch","Their own process page: Maruman uses LAYOUT SIMULATION to create a prospective finished view of your source picture, then the customer confirms colours against a physical tile sample book and approves the composition","in scope","hand-verified priority on 14 Sept: PASS priority. Founded 1931 by Manzo Kato, incorporated 1957, in Tajimi, the centre of Japanese tile production. 65+ years making porcelain MOSAIC tile, 100% made in Japan, local m","Tile / Stone (verify)","Coverings 2027","5M-10M","11-50 employees","Glass, Ceramics and Concrete Manufacturing","Maruman established itself over six decades ago as a leading producer and provider of the highest quality porcelain mosaic tiles in Japan and in just a few short years we are recreating our success in the global ceramic tiles market."
"Mediterra Tile","mediterratile.com","US","Tumacacori","CANDIDATE A","NONE","2-NONE","Confirms the 14 Sept read. A custom glaze palette with a 4-8 week lead time and nothing to preview against || NO DESIGN STEP AT ALL. Sell the capability itself, as a value-add their customers get and their competitors already offer. Confirm by eye first: search indexes tool pages, it does not prove absence","A static Glaze Palette page. Glazes applied by hand in small batches, an organic range of values and hues. 12+ years of custom tile. No tool surfaced","in scope","hand-verified priority on 14 Sept: PASS priority. Design, fabrication and distribution of artisan tile and mosaic. Extensive glaze palette offered for fully custom tile, 4-8 week lead times. A long lead time with a ","Decorative / Artisan Tile","TCNA","1M-5M","","",""
"Quemere Designs","quemeredesigns.com","US","Middletown","CANDIDATE A","ADVANCED","4-ADVANCED","CORRECTS MY 14 SEPT CALL. I ranked Quemere the top TCNA row on the premise it had no configurator; it has a good one. It moves to the has-a-configurator A/B cohort. The gap is that the builder only recombines preset geometric patterns, it cannot originate a motif || THE A/B COHORT (S11). Never say they lack a tool. Their tool PLACES or RECOMBINES existing designs; it cannot ORIGINATE one. Pitch generation, not visualisation","Full mosaic builder on its own subdomain, designyourown.quemeredesigns.com: choose a pattern (Flame, Wave, Chevron, Cube, Prism), set up to 4 colours, adjust colour percentages, preview, download a PDF","in scope","hand-verified priority on 14 Sept: PASS priority. Only handmade tile factory on the East Coast by its own claim, since 1987. 400+ shapes, 500+ glaze colours plus custom colours, every order custom glazed to one dye ","Decorative / Artisan Tile","TCNA","5M-10M","","","Quemere Designs is a tile design and manufacturing company that produces mosaics, deco tile, boards, murals, borders, and liners."
"TECHNOLAM - BLUFANGO","technolam.it","IT","NAPOLI","CANDIDATE A","NONE","2-NONE","Downgrade: they lay as well as make (gate 3 pressure) and much of the output is worktops and furniture, which is 3D || NO DESIGN STEP AT ALL. Sell the capability itself, as a value-add their customers get and their competitors already offer. Confirm by eye first: search indexes tool pages, it does not prove absence","Large-format thin porcelain slabs. Service described as planning, design, manufacturing AND laying. No tool surfaced","in scope","bespoke/handmade language; own collections or trade-facing; also distributes, confirm the maker share","Ceramic / Tile (verify)","Cersaie 2026","10M-25M","11-50 employees","Wholesale Building Materials","Technolam nasce da un lungo percorso nel settore della ceramica tradizionale e dalla voglia d'innovare. Gli ideatori del progetto intuiscono tra i professionisti del settore l’esigenza di disporre di superfici ceramiche di formato sempre più grande che non si limitino all’uso a pavimento e rivestimento, ma che si prestino alla realizzazione di elementi su misura per il mondo dell’arredo. Grazie al continuo lavoro di ricerca e di sviluppo, Technolam ha sviluppato una grande lastra in gres porcellanato di basso spessore dalle caratteristiche tecniche eccellenti che garantisce ad architetti e progettisti la massima versatilità e libertà d'impiego, senza rinunciare a una resa estetica impeccabile. Oggi Technolam è un interlocutore unico per i suoi clienti offrendo un servizio a tutto tondo di consulenza pre e post vendita, taglio a misura e posa in opera con il fine di realizzare spazi sartoriali. 

-

Technolam was born from a long journey in the traditional ceramic sector and from the desire to innovate. The creators of the project sense among the professionals of the sector the need to have ceramic surfaces of increasingly larger size that are not limited to the use as floors and wallcoverings, but which lend themselves to the creation of furnishing elements. Thanks to continuous research and development, Technolam has developed a large-sized, low-thickness porcelain stoneware slab with excellent technical characteristics that guarantee architects and designers maximum versatility and freedom of use, without sacrificing an impeccable aesthetic result. Today the company is a unique interlocutor for its customers by offering an all-around service of pre- and post-sales consultancy, cutting to size and installation to create tailored spaces."
"The Wallfashion House NV","grandecogroup.com","BE","Tielt","CANDIDATE A","NONE","2-NONE","1,000+ new designs a year, 20M rolls, 88 countries, and not one way for a customer to see a design on their own wall. Largest design throughput on the list, zero tooling || NO DESIGN STEP AT ALL. Sell the capability itself, as a value-add their customers get and their competitors already offer. Confirm by eye first: search indexes tool pages, it does not prove absence","Collections and inspiration galleries (bedroom ideas, photo wallpaper trends, how-to-apply). Browse and buy, no visualiser and no configurator","in scope","hand-verified priority on 14 Sept: PASS priority. This is Grandeco Wallfashion Group, founded 1978, Europe's largest wallpaper producer: 20 million rolls a year in more than 1,000 designs, ~EUR 150M turnover, 600+ p","Murals & Wallcoverings","Heimtextil 2027","25M-75M","201-500 employees","Design Services","Grandeco Wallfashion Group Belgium is one of the leading producers of Vinyl Wallcoverings. Based in Tielt, Belgium, we have become one of the most important players in the field of decorative wall-papers and we sell our products in over 88 countries worldwide.

It is our objective to expand even more and to confirm our reputation as one of the lead market players. Our strengths are undoubtedly our excellent product quality and our contemporary collections. This is all available on paper or non-woven substrates. Our team of in-house designers develop our own collections and in addition Grandeco also produces a large number of exclusive products for almost every important retailer and distributor.

Grandeco is part of the GIMV and Down2Earth Belgian private equity investment groups, which are the main share holders of the Grandeco Wallfashion Group."
"YUKARI CERAMICS","yukariceramics.com","IT","SASSUOLO","CANDIDATE A","NONE","2-NONE","A very thin web presence. Real artisan credentials, almost no digital surface, so the sell is broader than one feature || NO DESIGN STEP AT ALL. Sell the capability itself, as a value-add their customers get and their competitors already offer. Confirm by eye first: search indexes tool pages, it does not prove absence","Only two pages indexed at all (home, collections). Tiles designed by hand by Japanese artisans","in scope","bespoke/handmade language; own collections or trade-facing; revenue blank, manual review per S7.4","Ceramic / Tile (verify)","Cersaie 2026 + Coverings 2027","","2-10 employees","Design Services","What is Yukari Ceramics?

A brand born from the desire to blend the excellence of Italian design culture with the great craftsmanship of Japanese masters.

Handcrafted design

The design of the tiles is closely linked to handmade production and stems from a subtle balance between ancient tradition and contemporary research. Here, every element is part of a shared knowledge that spans centuries.

People of Yukari

The union of two great skills, on the one hand the entrepreneurial and commercial expertise of Stefano Mammi and on the other the organizational skills of Mikito Hirata and his Hirata Tile group, gave rise to the Yukari Ceramics project, a brand created with the aim of spreading, for the first time, the culture of Japanese artisan ceramic tiles throughout the world through Italian design.

AD - Massimo Nadalini 
Exhibition design - Lo Studio Design
Online communication - be2be
Render Artist - Mattia Messori
Photography - Oryoki
Still-life of collections - Fabrizio Cicconi"
"41ZERO42","41zero42.com","IT","FIORANO MODENESE","CANDIDATE B","NONE","2-NONE","Design-led Italian ceramic brand, no customer-facing design step || NO DESIGN STEP AT ALL. Sell the capability itself, as a value-add their customers get and their competitors already offer. Confirm by eye first: search indexes tool pages, it does not prove absence","Project galleries and collection catalogues. No tool surfaced","in scope","bespoke/handmade language","Ceramic / Tile (verify)","Cersaie 2026","1M-5M","11-50 employees","Design Services","La semplicità di un codice d’avviamento postale per identificare un luogo d’appartenenza e tutti i valori che ad esso sono legati. Uno spazio creativo, che mira all’eccellenza del materiale ceramico, all’importanza della sua ricerca e ai suoi contenuti. Un linguaggio che prende forma dalla contaminazione di diversi elementi provenienti da svariati contesti. Elementi dal sapore industriale accostati ad altri dal carattere fortemente artigianale, colore e tinte neutre, decorazioni massimaliste e atmosfere minimaliste, molteplicità di linguaggi interconnessi danno vita a nuove vesti per la progettazione architettonica.
41zero42 è nata sicuramente dalla voglia di fare qualcosa di diverso, guardando anche al di fuori del campo ceramico e cercando di interagire maggiormente con l’interior design.
Per noi, un’idea o un progetto devono necessariamente trasmettere e veicolare un contenuto, una storia. Così le storie che ci emozionano, appassionano e che cerchiamo di raccontarvi, divengono la linfa della nostra curiosità e creatività. Chiamateci cantastorie, non ci offenderemo."
"AB (AZULEJOS BENADRESA)","azulejosbenadresa.com","ES","VILLAFAMÉS","CANDIDATE B","ADVANCED","4-ADVANCED","Already solved, and they even segment it by audience. A/B cohort row: what does their 3D room lack that generation adds? || THE A/B COHORT (S11). Never say they lack a tool. Their tool PLACES or RECOMBINES existing designs; it cannot ORIGINATE one. Pitch generation, not visualisation","create3d, their 3D Superb program: build your own 3D settings from their collections, multiple laying options, in two versions, HOME for everyone and PRO restricted to professionals","in scope","own collections or trade-facing; also distributes, confirm the maker share","Ceramic / Tile (verify)","Cersaie 2026","25M-75M","51-200 employees","Wholesale","Fiel a su filosofía de evolución constante, Azulejos Benadresa, con sus novedosas colecciones en diferentes formatos, colores y acabados, ofrece un mundo de infinitas posibilidades para la creación de un estilo personal para cada ambiente.

Gracias a un exigente proceso de fabricación, una cuidada selección de las mejores materias primas y el uso de la más moderna tecnología, Azulejos Benadresa está presente en más de un centenar de países gracias a la reconocida calidad de sus productos.

Es tiempo de crear, es tiempo de AB."
"ABK - MOOOI","abkgroup.it","IT","FINALE EMILIA","CANDIDATE B","NONE","2-NONE","30 years of Made-in-Italy research and the digital surface is a PDF library || NO DESIGN STEP AT ALL. Sell the capability itself, as a value-add their customers get and their competitors already offer. Confirm by eye first: search indexes tool pages, it does not prove absence","Collection catalogue PDFs only (Out.20, Alterego, Concrea, Eco.Chic, Sensi). No tool surfaced","in scope","own collections or trade-facing; 200+ employees, long cycle per the S7.4 decision-maker table","Ceramic / Tile (verify)","Cersaie 2026","200M-500M","501-1,000 employees","Glass, Ceramics and Concrete Manufacturing","In ABK Group, for 30 years Made in Italy has been translated into the continuous research for new expressive styles, attention to details, and the use of the most advanced production technologies.

It is thanks to the attention paid to these aspects and the enhancement of the entire production process that we are able to actively respond to the most complex and diversified design needs.

ABK Group collections, designed and produced in the Ceramic Excellence District, offer surfaces, formats and finishes that extend the expressive possibilities of porcelain stoneware to infinity."
"AIXIN TECH.CO., LTD","ralartmosaictile.com","CN","Foshan","CANDIDATE B","BASIC","3-BASIC","They already sell printed mosaic murals, so the product fit is exact. The custom loop is a sales conversation. Tier 3 geography || UPGRADE A PICKER. A dropdown, swatch page, colour finder or style quiz. They have accepted the idea of choosing online and stopped at filtering. Show the gap between filtering a catalogue and composing a design","5,000+ mosaic SKUs with customised services, inkjet-printed glass mosaic, wall mural art and mosaic murals. No self-serve tool surfaced","in scope","hand-verified on 14 Sept: FLAG. Trades as Ralart Mosaic, founded 2011, renamed Aixin Technology in Oct 2024. Range includes mosaic ARTS and mosaic MURALS alongside commodity glass and ceramic mosaic, so unl","Tile / Stone (verify)","Coverings 2027","10M-25M","51-200 employees","Wholesale Building Materials","Ralart Mosaic is a leading and professional supplier of glass mosaic, glass tile, ceramic mosaic, stone mosaic, shell mosaic, mosaic murals and affordable porcelain tile, wall tile and floor tile in Foshan, China. Our main market is USA, Europe, Australia, Africa, Middle East, Southeast Asia and South America etc. Fast shipping, premium quality, worth price and one-stop purchase are what we are proudly providing to clients."
"ALFALUX CERAMICHE","alfa-lux.it","IT","ROTEGLIA-CASTELLARANO","CANDIDATE B","NONE","2-NONE","NO DESIGN STEP AT ALL. Sell the capability itself, as a value-add their customers get and their competitors already offer. Confirm by eye first: search indexes tool pages, it does not prove absence","Product collections by effect, surface and format. No tool surfaced","in scope","own collections or trade-facing; also distributes, confirm the maker share","Ceramic / Tile (verify)","Cersaie 2026","10M-25M","51-200 employees","Architecture and Planning","Alfalux rappresenta eccellenza, innovazione e sostenibilità nel mondo del gres porcellanato. Con sede nel cuore del distretto ceramico di Sassuolo – via della Repubblica 16, Roteglia di Castellarano (RE) – operiamo come partner affidabile e creativo per architetti, interior designer, rivenditori e imprese.

La nostra visione
Crediamo che la pietra ceramica non sia semplicemente un materiale, ma un vero complemento d’arredo capace di trasformare spazi, raccontare storie, valorizzare ambienti. Per questo motivo la ricerca estetica, l’innovazione tecnologica, e il rispetto per le risorse naturali e il territorio sono parte integrante del nostro approccio. 

Cosa facciamo
Produciamo lastre in gres porcellanato a colorazione in massa, in cui qualità tecnica e bellezza estetica convivono senza compromessi. 

Offriamo collezioni che spaziano dagli effetti pietra, legno, cemento e marmo, fino a soluzioni a colori, per ambienti interni ed esterni. 

Con il sistema TOTAL OUTDOOR, portiamo il gres anche nei contesti esterni — spiagge, giardini, terrazzi — garantendo prestazioni elevate e stile coerente. 

Con la formula MATCH, invitiamo i nostri clienti a mixare stili, materiali, formati e finiture, sperimentando nuove soluzioni e vivendo il progetto come momento creativo. 

Perché scegliere Alfalux
Siamo parte del gruppo Nuova Riwal, consolidando esperienza, capacità produttiva e visione globale. 

Mettiamo al centro responsabilità sociale, tutela ambientale e un uso consapevole delle risorse, elementi che guidano ogni fase del nostro processo produttivo. 

Disponiamo di un’ampia gamma di collezioni per rispondere alle più diverse esigenze progettuali, mantenendo elevati standard qualitativi e estesi formati. 

Unisciti al nostro mondo
Che tu sia progettista, distributore o appassionato di design, Alfalux ti offre un ventaglio di possibilità per trasformare gli spazi in esperienze."
