"company","domain","country","Size","Annual Revenue","segment","lead_persona","dm_targets","Use AI Tool Level","Use AI Has Tryon","Use AI Has Prompt","Use AI Product Category","Use AI Tool Url","Use AI Tool Evidence","rank_score"
"Haussmann Natural Stone","haussmannstone.com","US","2-10 employees","1M-5M","1-MANUAL no tool","Design / Product","Owner / Founder","MANUAL","no","no","natural stone products","https://haussmannstone.com/wp-content/uploads/2020-Haussmann-Catalog.pdf","The catalogue states that “Visual representations of the project are created” and that “These drawings take the designer’s vision” through installation and production details. This describes staff-produced project drawings, so the capability is MANUAL rather than an interactive visualizer.","110"
"Hanover Architectural Products","hanoverpavers.com","US","51-200 employees","25M-75M","1-MANUAL no tool","Design / Product","Marketing + Design + MD","MANUAL","no","no","concrete unit pavers","https://hanoverpavers.com/vision-studio/","VISION STUDIO offers '2D Conceptual Design, 3D Visualization, and Roof & Pedestal Takeoff', where the customer completes 'the project intake form' and 'a member of our in-house design team will reach out'; the 3D Visualization Service delivers 'photorealistic renderings' produced by Hanover rather than a self-service tool.","110"
"BECRISA","becrisa.com","ES","51-200 employees","10M-25M","1-MANUAL no tool","Design / Product","Marketing + Design + MD","MANUAL","no","no","bathroom fixtures and showerware","https://becrisa.com/en/shower-screen/special-solutions/","The special-solutions page states, “Since these are custom-made models, we can offer personalized options to fit your needs,” and describes special measurements and the need to provide a “dimensioned plan.” This supports a bespoke/manual service rather than an interactive visualizer or prompt-based tool.","109"
"The Rookwood Pottery Co.","rookwood.com","US","51-200 employees","10M-25M","1-MANUAL no tool","Design / Product","Marketing + Design + MD","MANUAL","no","no","ceramic tiles and pottery","http://rookwood.com/pages/contact-our-tile-experts","The site offers “Contact our Tile Experts” and asks what type of project the visitor needs assistance with. Its custom page directs visitors to contact the custom and commemorative team, indicating a MANUAL service rather than an interactive design tool.","109"
"Foshan Domogres Building Materials LTD.","dozanmosaic.com","CN","51-200 employees","10M-25M","1-MANUAL no tool","Design / Product","Marketing + Design + MD","MANUAL","no","no","glass marble mosaic tiles","https://www.dozanmosaic.com/","The site describes its marketing support as “HD pictures & Room Show design & Catalogs” and says, “We will send those package to customers,” while also offering help to make sample boards in China.","109"
"HOMEE FOSHAN CO .LTD","homeemosaic.com","CN","51-200 employees","10M-25M","1-MANUAL no tool","Design / Product","Marketing + Design + MD","MANUAL","no","no","mosaic and pool tiles","https://www.homeemosaic.com/custom.html","The site labels a “Custom” page and says Homee Mosaic offers “comprehensive ODM and OEM services,” with customization covering “size, material, color, pattern, and shape.” It provides chat, email, and WhatsApp contacts rather than an interactive visualizer, so the highest detected tool level is MANUAL.","109"
"TESSERE","tesseremosaico.it","IT","2-10 employees","","1-MANUAL no tool","Design / Product","Owner / Founder","MANUAL","no","no","mosaic tiles and decor","https://www.tesseremosaico.it/artistic/","The artistic mosaic page states, “Our world-renowned mosaic artist can turn into a masterpiece any of your design or photograph,” and provides “Request Information.” This is a manually delivered bespoke service rather than an interactive customer-operated configurator.","108"
"TRAVERTINI PARADISO","travertiniparadiso.com","IT","2-10 employees","","1-MANUAL no tool","Design / Product","Owner / Founder","MANUAL","no","no","travertine slabs and mosaics","https://www.travertiniparadiso.com/progetti","No interactive design tool, configurator, or visualizer appears anywhere on the site; bespoke work is handled by people: 'Collaborando con grandi studi di architettura, costruttori e designers di tutto il mondo è possibile soddisfare qualsiasi tipo soluzione richiesta in maniera sartoriale' and the homepage invites 'HAI UN IDEA? Contattaci'.","108"
"DURSTONE","durstone.es","ES","11-50 employees","10M-25M","2-has tryon, no prompt","Digital / Ecommerce","Owner / Founder","ADVANCED","yes","no","porcelain and ceramic tiles","https://www.durstone.es/en/simulador-3d","The site labels the page “Simulador 3D” and states, “Spark Blueprint is designed to be used on a computer.” This is a dedicated customer-facing 3D visualization experience.","102"
"ECOCERAMIC","ecoceramic.es","ES","11-50 employees","10M-25M","2-has tryon, no prompt","Digital / Ecommerce","Owner / Founder","ADVANCED","yes","no","ceramic and porcelain tiles","https://www.ecoceramic.es/configurador-3d/","The Collections page states: ""Con nuestro configurador 3D, podrás diseñar tu espacio y visualizar cómo encajan nuestros productos en tus ambientes"" with a link to the configurador 3D. This is a first-party tool that composes a room preview of their products.","102"
"OTTOFOND","groupeottofond.com","FR","11-50 employees","10M-25M","2-has tryon, no prompt","Digital / Ecommerce","Owner / Founder","ADVANCED","yes","no","bathroom fittings and furniture","https://o-design.fr/","The O’Design page says: “Imaginez, testez, créez. Grâce à notre configurateur 3D, visualisez votre projet dans les moindres détails et concevez un espace qui vous ressemble vraiment.” The group site links to O’Design as one of its brands.","102"
"SKEMA","skema.eu","IT","11-50 employees","10M-25M","2-has tryon, no prompt","Digital / Ecommerce","Owner / Founder","ADVANCED","yes","no","flooring and wall coverings","https://skema.eu/en/3d-configurator/","The site's services navigation explicitly lists “3D Configurator” alongside Architects, Contractor, Retailers, and Gallery, indicating a customer-facing interactive visualization tool. No wording indicating AI or text-prompt visual generation was found.","102"
"TECHNOLAM - BLUFANGO","technolam.it","IT","11-50 employees","10M-25M","2-has tryon, no prompt","Design / Product","Owner / Founder","MANUAL","yes","no","porcelain stoneware slabs","https://technolam.it/en/what-we-do/","The site states that it offers “feasibility study, cost analysis and 3D rendering” to design in a personalized way, alongside planning and consultation services; this is a manual service rather than a self-service configurator or prompt-based tool.","102"
"IMEX INTERNATIONAL CO., LTD","imexinter.com","TH","","1M-5M","1-MANUAL no tool","Design / Product","Owner / Founder (size unknown)","MANUAL","no","no","glass ceramic porcelain tiles","https://imexinter.com/en/international/products?page=14","The product range includes “made-to-order colour ranges,” and the site states, “Ask for prices, request tile samples, or talk to the team.” This indicates bespoke assistance handled by staff, with no interactive room visualizer, upload-based preview, or text-prompt generator identified.","102"
"EMOTION CERAMICS","emotionceramics.es","ES","11-50 employees","5M-10M","2-has tryon, no prompt","Digital / Ecommerce","Owner / Founder","ADVANCED","yes","no","ceramic floor and wall tiles","https://emotionceramics.es/en/virtual-1-1","The site navigation includes an “App” linking to “virtual-1-1,” which indicates a customer-facing virtual visualization tool. No wording describes AI or text-prompt visual generation.","101"
"REVIGLASS","reviglass.es","ES","11-50 employees","5M-10M","2-has tryon, no prompt","Digital / Ecommerce","Owner / Founder","ADVANCED","yes","no","glass mosaic tiles","https://myvirtualpool.reviglass.es/","The site navigation offers 'My virtual pool' / 'Pool configurator' (linked from their own subdomain myvirtualpool.reviglass.es), and trade press describes it: 'My Virtual Pool de Reviglass permite el diseño online de una piscina... Este simulador permite probar 76 referencias de Reviglass en un prototipo de piscina en sus diferentes profundidades.' Their mosaics are also available in the third-party Logyconcept3D pool-design platform.","101"
"Roca / Lamosa USA","rocatileusa.com","US","51-200 employees","75M-200M","2-has tryon, no prompt","Digital / Ecommerce","Marketing + Design + MD","ADVANCED","yes","no","ceramic and porcelain tiles","https://rocatileusa.com/?roomvoStartVisualizer=true","The homepage says “Room Visualizer” and “Easily explore how our stunning tiles will look in your space. Start designing your dream room today!” The link invokes Roomvo through the `roomvoStartVisualizer=true` parameter; no text-prompt feature is stated.","101"
"BRICK&MORE BY CIFRE","cifreceramica.com","ES","51-200 employees","25M-75M","2-has tryon, no prompt","Digital / Ecommerce","Marketing + Design + MD","ADVANCED","yes","no","small-format ceramic tiles","https://cifreceramica.com/en/cifrecreate_3d/","The site's Tools section promotes 'Cifre Roomview': 'Just upload a photo of your room and let the magic happen' (cifrecreate_3d page). The underlying app is a third-party build, titled 'Cifre Ceramica Room Visualizer, Powered by Roomvo', letting users 'See products in your room. Take a photo. Choose from library'.","100"
"CERAMICA VALSECCHIA","ceramicavalsecchia.it","IT","51-200 employees","25M-75M","2-has tryon, no prompt","Digital / Ecommerce","Marketing + Design + MD","ADVANCED","yes","no","porcelain stoneware tiles","https://www.ceramicavalsecchia.it/2022/06/30/ceramica-valsecchia-domus3d/?lang=en","The site states, “Create your interiors with our products, on DomuS3D,” and says that users can find all Ceramica Valsecchia collections in DomuS3D, a professional interior-design software, to see previews of their ideas.","100"
"CERAMICHE CAESAR","caesar.it","IT","51-200 employees","25M-75M","2-has tryon, no prompt","Digital / Ecommerce","Marketing + Design + MD","ADVANCED","yes","no","porcelain ceramic tiles","https://www.caesar.it/en/roomvo/","The site describes Virtual Room as “Caesar's innovative room configurator that simulates an installation of the colour concerned in any setting.” Its visualizer says “See products in your room” and “Take a photo.”","100"
"CERASARDA","cerasarda.it","IT","","","1-MANUAL no tool","Design / Product","Owner / Founder (size unknown)","MANUAL","no","no","designer ceramic tiles and decor","https://www.cerasarda.it/en/samples","The site offers physical samples rather than any digital tool: 'Our samples allow you to preview the architectural elegance and quality craftsmanship that make our coatings unique.' Bespoke work is human-delivered: 'Every space has its own soul, and we create ceramics that blend with it, sculpting unique details that tell your story.'","100"
"FLAMINIA ITALIAN CERAMIC TILES","ceramicaflaminia.com","IT","2-10 employees","1M-5M","2-has tryon, no prompt","Digital / Ecommerce","Owner / Founder","ADVANCED","yes","no","porcelain stoneware tiles","https://www.ceramicaflaminia.it/en/","The site labels the feature “Configurator” and states: “Design your bathroom and see it in your room in AR.” No text-prompt generation capability is stated; the feature is an AR configurator.","100"
"GAYAFORES","gayafores.es","ES","51-200 employees","25M-75M","2-has tryon, no prompt","Digital / Ecommerce","Marketing + Design + MD","ADVANCED","yes","no","porcelain floor/wall tiles","https://gayafores.tilelook.com/","The site describes the GF-3D Design Area as a “3D design and preview application” where users can “design your own spaces” with Gayafores porcelain floor and wall tile collections to obtain “a totally realistic result.”","100"
"GSI CERAMICA","gsiceramica.it","IT","51-200 employees","25M-75M","2-has tryon, no prompt","Digital / Ecommerce","Marketing + Design + MD","ADVANCED","yes","no","ceramic bathroom sanitaryware","https://gsiceramica.it/en/augmented-reality-for-your-bathroom/","The site describes a “revolutionary 3D visualization tool” and says users can “insert the product in the virtual copy of your real-life bathroom.”","100"
"HARMONY","harmonyinspire.com","ES","51-200 employees","25M-75M","2-has tryon, no prompt","Digital / Ecommerce","Marketing + Design + MD","ADVANCED","yes","no","ceramic and porcelain tiles","https://harmonyinspire.com/3d","The 3D page explicitly says “Visualize tiles in setting” and “Design your own setting.” No text-prompt generation capability is stated on the reviewed pages.","100"
"KEOPE","keope.com","IT","51-200 employees","25M-75M","2-has tryon, no prompt","Digital / Ecommerce","Marketing + Design + MD","ADVANCED","yes","no","porcelain stoneware tiles","https://www.keope.com/en/tiles/design-your-room","The site offers the Match App: 'Upload a photo of your environment, choose from the porcelain stoneware collections of Ceramiche Keope and admire the transformation' — a working room visualizer driven by an uploaded photo. It is presented as Keope's own tool ('Match App: Design Your Spaces with Ceramiche Keope'), with no evidence of text-prompt/AI generation.","100"
"TAGINA","tagina.it","IT","51-200 employees","25M-75M","2-has tryon, no prompt","Digital / Ecommerce","Marketing + Design + MD","ADVANCED","yes","no","porcelain stoneware tiles","https://www.tagina.it/en/roomvo/","The site says, “Design and personalize your home spaces ... experimenting with different combinations of sizes, colors and surfaces.” An official TAGINA description identifies the “Tagina Configurator, powered by RoomLook” as enabling users to “visualize Tagina surfaces in realistic spaces.”","100"
"UNDEFASA","undefasa.com","ES","51-200 employees","25M-75M","2-has tryon, no prompt","Digital / Ecommerce","Marketing + Design + MD","ADVANCED","yes","no","ceramic and porcelain tiles","https://www.realityremod.com/UNDEFASA","The site says, “Take a photo and choose the product you want to install.” It describes Undefasa Reality as an “augmented reality application with artificial intelligence” that lets users switch between floor and wall tiles directly in the photo, with access at https://www.realityremod.com/UNDEFASA.","100"
"VERNI-PRENS","verniprens.com","ES","51-200 employees","25M-75M","2-has tryon, no prompt","Design / Product","Marketing + Design + MD","MANUAL","yes","no","precast concrete and stone","https://verniprens.com/en/3d/","The site states, “we also offer a 3D modeling service with our products” and explains that it works with an architecture group. It also offers “a simulation on a real photograph” supplied by the customer and asks interested users to contact the company.","100"
"American Restoration Tile, Inc.","restorationtile.com","US","2-10 employees","1M-5M","2-has tryon, no prompt","Design / Product","Owner / Founder","MANUAL","yes","no","custom historical ceramic tile","https://restorationtile.com/contact/","The site says customers should email their project details and that the company will send “a small mock of of your pattern,” while “larger computer generated mocks to scale in your space” are available for a design fee. This is a staff-delivered visualization service, so it is classified as MANUAL rather than an interactive customer-facing tool.","100"
"Casa Ceramica, Inc.","casaceramica.com","US","2-10 employees","1M-5M","2-has tryon, no prompt","Design / Product","Owner / Founder","MANUAL","yes","no","ceramic tiles and panels","https://casaceramica.com/trades/","The site labels the service “Design Visualization” and says, “we offer 3D modeling services for qualifying projects,” allowing users to present “a preview of our ceramics in your specific space.”","100"
"Elon Tile & Stone","elontile.com","US","11-50 employees","1M-5M","2-has tryon, no prompt","Digital / Ecommerce","Owner / Founder","ADVANCED","yes","no","tile and stone products","https://elontile.com/pages/room-visualizer","The site navigation explicitly lists “Room Visualizer,” and the dedicated page is titled “Room Visualizer.” No wording indicates text-prompt or AI-generated visual creation, so hasPrompt is no.","100"
"PORCEMALL USA","porcemall.com","US","2-10 employees","1M-5M","2-has tryon, no prompt","Digital / Ecommerce","Owner / Founder","ADVANCED","yes","no","floor and wall tiles","https://www.roomvo.com/my/porcemall/","The site labels the feature “ROOM VIEWER” and “YOUR VIRTUAL DESIGN PARTNER,” stating, “Get a glimpse of how these floors will transform your home.” It links to “VISUALIZE IT” at Roomvo.","100"
"Stoneyard LLC","stoneyard.com","US","51-200 employees","25M-75M","2-has tryon, no prompt","Digital / Ecommerce","Marketing + Design + MD","ADVANCED","yes","no","natural stone veneer","https://stoneyard.com/visualize-your-house-with-stone-accents/","Stoneyard calls the Stone Project Visualizer “an interactive design tool” that previews natural thin stone veneer on real scenes; users can choose a sample scene, select a surface, and try different veneer colors and shapes. No text-prompt generation is described on the visualizer or homepage pages examined.","100"
"APARICI","aparici.com","ES","51-200 employees","10M-25M","2-has tryon, no prompt","Digital / Ecommerce","Marketing + Design + MD","ADVANCED","yes","no","ceramic and porcelain tiles","https://www.aparici.com/en/tools-visualisation-3d-tiles","The site's '3D Viewer' page states: 'we offer two powerful 3D design tools so you can visualise how our ceramic collections will look in any room', linking to preset-scene visualisation and a planner to 'Create your 3D projects from scratch: arrange furniture, change floors and walls, and visualise the result with our ceramics.'","99"
"ARCOM","arcombagno.com","IT","51-200 employees","10M-25M","2-has tryon, no prompt","Digital / Ecommerce","Marketing + Design + MD","ADVANCED","yes","no","bathroom furniture and fittings","https://www.arcombagno.com/en/","The site states: “With the graphics software TRICAD LITE, each retailer can guide the customer through a 3D bathroom design and support the company in managing orders.” This is an advanced retailer-assisted 3D design tool; no text-prompt visual-generation feature is stated.","99"
"BETSAN GLASS MOSAIC","betsan.com","TR","51-200 employees","10M-25M","2-has tryon, no prompt","Digital / Ecommerce","Marketing + Design + MD","ADVANCED","yes","no","glass mosaic tiles","https://design.betsan.com","The site says users can “easily design their dream pools and instantly select their preferred products” and “preview how the mosaic will look in the pool.” It also lists 101 glass mosaics, 9 porcelain tiles, daytime and nighttime views, quantity calculation, and design download.","99"
"FLAMINIA","ceramicaflaminia.it","IT","51-200 employees","10M-25M","2-has tryon, no prompt","Digital / Ecommerce","Marketing + Design + MD","ADVANCED","yes","no","designer ceramic sanitaryware","https://magazine.ceramicaflaminia.it/","The homepage labels a feature “Configurator” and states: “Design your bathroom and see it in your room in AR.” This supports an ADVANCED customer-facing room-visualization tool with try-on capability, but no text-prompt feature is described.","99"
"LA FABBRICA AVA","lafabbrica.it","IT","51-200 employees","10M-25M","2-has tryon, no prompt","Digital / Ecommerce","Marketing + Design + MD","ADVANCED","yes","no","porcelain stoneware tiles","https://www.lafabbrica.it/en/collections/up/","The collection page labels the feature “room simulator” and invites visitors to “Discover how our products transform your environment” and “try now.”","99"
"TN CORPORATION","tn-corporation.com","JP","51-200 employees","","2-has tryon, no prompt","Digital / Ecommerce","Marketing + Design + MD","ADVANCED","yes","no","mosaic and architectural tiles","https://www.tn-corporation.com/english","The site describes “Mosaic Arts Factory” as “a free software” that allows users to “simulate your image, e.g. photos, illustrations or landscapes” with 141 colors on screen. It also invites users to bring photos or illustrations for simulation and says it can reproduce the desired image with mosaic tile.","95"
"LAFAENZA","lafaenzaceramica.com","IT","","10M-25M","2-has tryon, no prompt","Digital / Ecommerce","Owner / Founder (size unknown)","ADVANCED","yes","no","ceramic floor and wall tiles","https://lafaenzaceramica.com/configuratore/","The homepage promotes 'The new LaFaenza configurator Design-it-Yourself' with 'The results are amazing and immediate! Try it out now!', and describes it as able to 'transform any environment', indicating customers can visualise the products in a room. No AI/text-prompt capability is mentioned anywhere on the site.","94"
"CARRODRAIN","carrodrain.com","BE","11-50 employees","10M-25M","3-composes, no room view","Digital / Ecommerce","Owner / Founder","ADVANCED","no","no","design shower drains","https://carrodrain.com/en/pages/downloads","The site lists “3D configurator” in its navigation, while its Downloads page refers to “3D configurator Carrodrain” and provides a configurator login; no wording indicates text-prompt generation or room-photo try-on.","92"
"GRUPO EMBRAMACO","embramaco.com.br","BR","","1M-5M","2-has tryon, no prompt","Digital / Ecommerce","Owner / Founder (size unknown)","ADVANCED","yes","no","porcelain floors and coverings","https://www.embramaco.com.br/porcelanato","The porcelain page explicitly mentions “o simulador de ambientes com produtos Embramaco” (“the environment simulator with Embramaco products”), indicating an in-room product visualization capability. No text-prompt generation feature is stated on the reviewed pages.","92"
"StoneImpressions/Artisan Stone Tile","stoneimpressions.com","US","11-50 employees","10M-25M","3-composes, no room view","Digital / Ecommerce","Owner / Founder","ADVANCED","no","no","natural stone decorative tiles","https://wordpress-1483566-5640268.cloudwaysapps.com/","Product pages state, “Use our tile visualizer to view our patterns on different stone types,” and provide a “Design Your Perfect Tile” interface with selectable stone bases and pattern overlays.","92"
"ESTILKER","ceramicaestilker.com","ES","11-50 employees","5M-10M","3-composes, no room view","Digital / Ecommerce","Owner / Founder","ADVANCED","no","no","ceramic and porcelain tiles","https://www.couture.ceramicaestilker.com/en/test","The Couture page says, “Turn our designs into your own idea and adapt them to your needs,” and provides “Designs,” “Composition,” “Select Size,” “Select Color,” “Ambiences,” and “Request a budget.” This is an interactive composition/customisation interface rather than a text-prompt or own-room upload tool.","91"
