"company","domain","country","town","q1_verdict","tool_level","q1_rank","sell_angle","tool_evidence","q1_category","q1_reason","niche","source","Annual Revenue","Size","Industry","Description"
"Malibu Ceramic Works","malibuceramicworks.com","US","Topanga","CANDIDATE B","MANUAL","1-MANUAL","A face-to-face design meeting is the most expensive version of this bottleneck there is || REPLACE A HUMAN LOOP. They already sell the bespoke outcome and produce it with staff time: hand mock-ups, CAD drawings, sample books, glaze trials, meetings. The tool removes the wait, not the service. Strongest and least contested pitch","Full-spectrum design services for residential and commercial projects, with designers who MEET WITH YOU and guide you through the design process. Rug tile murals and flower pot murals are named product lines","in scope","hand-verified on 14 Sept: PASS. Founded 1979. Reproduces historic California tile: Malibu, Catalina, Hispano Moresque, Batchelder. Explicit tile murals and custom tile pages.","Decorative / Artisan Tile","TCNA","10M-25M","11-50 employees","Wholesale Building Materials","Over the past 30 years MALIBU CERAMIC WORKS has established itself as a local art treasure.
We specialize in the production of custom handmade decorative tile, most notably Malibu Tile and terra cotta paver tile for both commercial and residential projects. Our handmade decorative tile and terra cotta pavers are ideally suited for both contemporary and classic installations. Perfect for interior and exterior applications such as kitchens, bathrooms, pools, spas, fountains, stair risers, walkways, paving and patios. Malibu Ceramic Works specializes in the production of historic California tile such as Malibu Tile, Catalina Pottery Tile, Handcraft Tile, Hispano Moresque Tile, Batchelder Tile, D&M Tile, Classic Subway Tile, Santa Monica Brick Co. Tile, Custom Tile, Murals and countless others. We work closely with architects, designers and builders making innovative design concepts and reality everyday."
"McIntyre Tile, Inc.","mcintyretile.com","US","Healdsburg","CANDIDATE B","MANUAL","1-MANUAL","A physical trial-and-error loop with kiln firings per iteration. The slowest approval cycle on the list || REPLACE A HUMAN LOOP. They already sell the bespoke outcome and produce it with staff time: hand mock-ups, CAD drawings, sample books, glaze trials, meetings. The tool removes the wait, not the service. Strongest and least contested pitch","The Custom Solutions page: send an existing tile, a paint chip or a material sample, and the technical team evaluates tone, variation and reflection, then adjusts and TESTS GLAZE RECIPES AND FIRING CONDITIONS until it matches. Orders only through customer service or a retailer","in scope","hand-verified on 14 Sept: PASS. Handmade ceramic tile in Healdsburg since 1972. Has a retailers page, so sells to the trade.","Decorative / Artisan Tile","TCNA","10M-25M","11-50 employees","Wholesale Building Materials","For over 50 years, McIntyre Tile has been producing handmade ceramic tile in the heart of Healdsburg, California. Our tiles feature timeless glazes and durability designed to last generations.

Dedicated to creativity and quality, we lead the industry through innovation, imagination, and attention to every detail. Our tiles are crafted using fine porcelain and stoneware clays, and our spectacular high-temperature ceramic glazes are unmatched in the industry. Our inventive, unique, and always beautiful tiles and hand-cut mosaics are available in a broad range of shapes and sizes, and we have a line of creative and delightful decorative relief tiles ideal for accents in special settings.

Our small but mighty team is unwavering in our dedication to their craft, turning precision and devotion into every tile we create. We are passionate about expressing the beauty of art and nature in every handmade tile that is made-to-order, beautiful, durable, and unlike any other."
"PETRA ANTIQUA","petraantiqua.com","IT","MONTE DI MALO","CANDIDATE B","MANUAL","1-MANUAL","They promise per-wall artistic personalisation and offer no way to see it. On-niche and a clean opening line || REPLACE A HUMAN LOOP. They already sell the bespoke outcome and produce it with staff time: hand mock-ups, CAD drawings, sample books, glaze trials, meetings. The tool removes the wait, not the service. Strongest and least contested pitch","Stone mosaics and compositions where, in their own words, every proposal can be personalised to fit YOUR WALL'S DIMENSIONS and your artistic taste","in scope","bespoke/handmade language","Ceramic / Tile (verify)","Cersaie 2026","1M-5M","11-50 employees","Design","Petra Antiqua crafts stone finishes for outstanding architectural designs around the world, helping customers bring to life their uniquely inspiring visions. Play with multiple finishes, textures and designs from one or more stones, or marvel at the intricate detail on each stone art piece.

For the past 25 years, the craftsmen at Petra Antiqua have used their deep technical expertise and attention to detail to deliver stone designs that are instantly recognizable for the quality of the materials and the flawless execution. 

From a wide variety of the finest marbles, limestones, granites, sandstones and travertines, we work with interior designers, architects, builders and their clients to shape unexpected solutions that fit seamlessly with the character and mood of the finest traditional or modern designs.

Our journey began in 1995, since then we have dramatically expanded our ready-to-ship range (artistic mosaics and decors, tiles of various sizes, finishes and textures in almost 40 stone shades) and developed a strong partnership with building and design professionals around the world for one-of-a-kind projects by blending modern execution with ancient artistic craftmanship for unmistakable aesthetic results.

Our process includes the customer in every part of the journey, from design to staged delivery, providing peace of mind and absolute satisfaction with the results.
After careful listening to your needs, our technical team will analyse the environment where the selected product will be installed, advise on the best stone features for the project and produce a 3D rendering for your review.
During the handcrafted production phase, our team will make sure to deliver a complete stone solution to the installation site, with all pieces cut to size, so the installer can work by following the project plan to detail and minimizing stone wastage.

Find what you love in our extensive catalog, or contact us for a bespoke project."
"Syzygy Tileworks, Inc.","syzygytile.com","US","Silver City","CANDIDATE B","MANUAL","1-MANUAL","Any colour on any shape on any pattern is a combinatorial space no static catalogue can show. Nothing to preview it with || REPLACE A HUMAN LOOP. They already sell the bespoke outcome and produce it with staff time: hand mock-ups, CAD drawings, sample books, glaze trials, meetings. The tool removes the wait, not the service. Strongest and least contested pitch","Colour-ways that customers can use as they are or CHANGE TO SUIT THEIR PREFERENCES, and those colours can be applied to ANY tile and ANY pattern. Glazes brushed on by hand by twenty artisans","in scope","hand-verified on 14 Sept: PASS. Founded 1993, Josh and Carolyn White. Twenty artisans, hand cut and pressed, hand brushed glazes, every tile made to order.","Decorative / Artisan Tile","TCNA","1M-5M","2-10 employees","Wholesale Building Materials",""
"The Rookwood Pottery Co.","rookwood.com","US","Cincinnati","CANDIDATE B","MANUAL","1-MANUAL","A person drawing in CAD to show a client their tile before they buy is precisely the job MEC Artworks AI automates. Rookwood has written the manual version into its own sales page. Top-3 hook || REPLACE A HUMAN LOOP. They already sell the bespoke outcome and produce it with staff time: hand mock-ups, CAD drawings, sample books, glaze trials, meetings. The tool removes the wait, not the service. Strongest and least contested pitch","Expert designers work with the customer to create a unique tile installation, and USING CAD they create a visual representation of how the installation will look in the customer's home. Endless options from combining shapes, glazes and colour palettes","in scope","hand-verified on 14 Sept: FLAG mixed 2D/3D. Since 1880, revived 2004, 88,000 sq ft plant. Sells both art pottery, which is 3D and excluded, and architectural tile, which qualifies. Has a dedicated Architect","Decorative / Artisan Tile","TCNA","10M-25M","51-200 employees","Retail","Rookwood Pottery is located in the Over-the-Rhine neighborhood of Cincinnati, Ohio, just steps from historic Findlay Market. Founded by pioneering artist Maria Longworth-Nichols in 1880, Rookwood Pottery continues to build upon Maria's dream of a world-renowned, handcrafted ceramics company. We specialize in home decor, housewares, gifts and architectural tile.

Continuing its legacy as woman-owned, Marilyn Scripps revived the company over ten years ago and she owns Rookwood to this day. From its 88,000 sq. ft. production facility, Rookwood builds upon its rich heritage every day creating American-made, high quality ceramic pottery and tile. 

Learn more: rookwood.com"
"WILLIAM F. KEMPF & SON INC","williamkempf.com","US","Folcroft","CANDIDATE B","MANUAL","1-MANUAL","Confirms the criterion-2 question rather than settling it: a genuine custom flat-design loop, in coco and rubber || REPLACE A HUMAN LOOP. They already sell the bespoke outcome and produce it with staff time: hand mock-ups, CAD drawings, sample books, glaze trials, meetings. The tool removes the wait, not the service. Strongest and least contested pitch","Custom and personalised logo mats, designed and manufactured to requirement, imprinted with vegetable dyes. Everything runs through direct contact, no self-service design","in scope","hand-verified on 14 Sept: FLAG criterion 2. Not stone despite the TISE hall: since 1886 this firm makes coco mats, recycled tire tiles and CUSTOM ENTRANCE MATS. A custom logo mat is genuinely a flat 2D cust","Stone / Tile (verify)","TISE 2027","500K-1M","2-10 employees","Architecture and Planning","Get traditionally printed plain natural premium coco matting, Horse van mats, Dock bumpers & Green Coco garden products."
"Winsor Fireform, LLC","winsorfireform.com","US","Tumwater","CANDIDATE B","MANUAL","1-MANUAL","The most explicit approval-gated workflow found anywhere: the clock only starts when the art is signed off. But the buyer is an architect or public-art commission, so criterion 1 still fails || REPLACE A HUMAN LOOP. They already sell the bespoke outcome and produce it with staff time: hand mock-ups, CAD drawings, sample books, glaze trials, meetings. The tool removes the wait, not the service. Strongest and least contested pitch","300 LPI photographic fidelity, 20,000+ custom colours, in-house graphics and illustration, technical support through concept development, ARTWORK REFINEMENT and production-file prep, with COLOUR PROOFS and control samples before release. Lead time 8 to 12 weeks FROM FINAL ART APPROVAL","in scope","hand-verified on 14 Sept: FLAG criterion 1. Founded 1983. Manufactures custom porcelain enamel panels and graphic tile at full photographic fidelity, including Citi Field and Yankee Stadium murals. A genuin","Decorative / Artisan Tile","TCNA","500K-1M","11-50 employees","Architectural and Structural Metal Manufacturing","Winsor Fireform is the leading manufacturer of custom-made, ultra-durable monument-grade, porcelain-enameled signs and architectural panels built for long-term outdoor or indoor use. We are the only full-color exterior graphics company with a 25-year fade-free warranty. 

We partner with architects and designers, and the organizations and individuals they serve, to deliver vibrant, long-lasting, fade-proof graphics on steel and tile systems engineered to withstand UV, weather, abrasion, impact, heat, chemical cleaners, water, and heavy traffic. 

Our work supports transit systems, museums, parks, campuses, zoos, aquariums, homes, and branded environments that demand premium clarity, longevity, and low-maintenance performance.

We don't just execute orders; we treat every engagement as a true partnership, offering up our decades of experience to ensure your design intent is captured in the final product. Our products last for 40+ years, so we make sure every panel is crafted to the highest standard. 

All products are hand-made to order by our team of experienced craftsmen in the U.S.A."
"Bankside Decor Ltd (Ohpopsi)","ohpopsi.com","GB","","CANDIDATE A","NONE","2-NONE","In-house British designers, 2,000+ designs, and a customer who cannot see any of it on their own wall before buying || NO DESIGN STEP AT ALL. Sell the capability itself, as a value-add their customers get and their competitors already offer. Confirm by eye first: search indexes tool pages, it does not prove absence","Ready-made murals only, at set sizes: one design split across six 50cm strips supplied as a roll. No visualiser or configurator surfaced","in scope","hand-verified priority on 14 Sept: PASS priority. Ohpopsi is the trading brand of Bankside Decor. Bold wallpaper and large-scale wall murals designed by British designers and printed in the UK. Designs in house and ","Murals & Wallcoverings","Heimtextil 2027","5M-10M","11-50 employees","Manufacturing","ohpopsi.com produce stunning wall murals to fit any space in any place whether bedroom or boardroom.
Choose from over 2000+ designs, scale to your wall dimensions and we will do the rest.
Any queries, please call us on 0161 923 0234 and we will be delighted to help.

ohpopsi.com - making walls wonderful"
"Driftwood Design Labs","driftwooddesignlab.com","US","","CANDIDATE A","NONE","2-NONE","They have published an argument for the exact bottleneck MEC removes. Open on their own words || NO DESIGN STEP AT ALL. Sell the capability itself, as a value-add their customers get and their competitors already offer. Confirm by eye first: search indexes tool pages, it does not prove absence","No tool surfaced. Their own blog post is titled The Importance of Tile Samples in Your Decision-Making Process","in scope","hand-verified priority on 14 Sept: PASS priority. A creative studio and a division of Lunada Bay Tile, Southern California. Own collections: Zel Moroccan zellige, Cotto Andaluz terracotta, Shoreline, with hand-paint","Tile / Stone (verify)","Coverings 2027","25M-75M","51-200 employees","Wholesale Building Materials","Driftwood Design Lab is part of Lunada Bay Tile family with a unique focus on the market. Leveraging over 30 years of experience in the tile industry, Driftwood Design Lab creates and sources exclusive tile products to meet the needs of medium and high-end distributors/retailers in North America."
"Esselle Retail Limited","esselleretail.com","GB","","CANDIDATE A","NONE","2-NONE","Their bespoke loop is an account manager and an email thread. That is the loop, and it is the one MEC compresses || NO DESIGN STEP AT ALL. Sell the capability itself, as a value-add their customers get and their competitors already offer. Confirm by eye first: search indexes tool pages, it does not prove absence","300+ live wallpapers and bespoke own-label collections for global retailers, arranged through account managers. No tool surfaced","in scope","hand-verified priority on 14 Sept: PASS priority. In-house design team, over 300 live wallpapers, and collections engineered to coordinate wallpaper with fabrics, blinds and rugs. Owns the Arthouse and Esselle Home ","Murals & Wallcoverings","Heimtextil 2027","1M-5M","11-50 employees","Retail Furniture and Home Furnishings","Esselle Retail Limited, the home of great British brands.

Arthouse
Established in 2000, Arthouse is a trusted name in home décor, offering a wide range of wallpapers, mats, rugs, and peel & stick tiles. With a strong presence in major retailers across the globe, Arthouse is known for its stylish, accessible products that help transform living spaces with ease and creativity.

Belfield Home
Belfield Home is a longstanding institution renowned for its high-quality domestic fabrics. With a focus on excellence and attention to detail, the brand offers a bespoke made-to-measure service, ensuring that every product fits seamlessly into the home. Belfield Home combines craftsmanship with functionality, a reliable choice for discerning homeowners.

Esselle Home
Esselle Home is a luxury brand defined by timeless design narratives. Spanning multiple home product categories, Esselle empowers consumers to bring their interior décor visions to life with sophistication and ease. Each collection is thoughtfully curated to inspire and support cohesive, elegant home styling."
"LE NID","lenid.it","IT","PATERNO'","CANDIDATE A","NONE","2-NONE","Sells bespoke to designers with no way to show it. Note the tops are 3D-adjacent: confirm the flat-surface share before pitching || NO DESIGN STEP AT ALL. Sell the capability itself, as a value-add their customers get and their competitors already offer. Confirm by eye first: search indexes tool pages, it does not prove absence","Sicilian ceramics studio (Paterno, CT). Custom kitchen and bathroom tops on single slabs to 2.5m, advanced processing for designers. No tool surfaced","in scope","bespoke/handmade language; own collections or trade-facing","Ceramic / Tile (verify)","Cersaie 2026","10M-25M","2-10 employees","Retail Art Supplies","Studio Le Nid designs and produces handcrafted ceramic tiles, flooring solutions, and furnishing elements in ceramics. The company focuses on majolica tiles made on Etna lava stone and hand-made terracotta, offering collections for walls, floors, and complete interior and exterior coverings. Studio Le Nid develops decorative lines such as Classici and Deja Vu, combining traditional techniques with contemporary patterns and formats. It also creates ceramic accessories including vases, lamps, tableware, and bathroom complements that coordinate with its tile collections. Studio Le Nid collaborates with architects and designers to develop custom patterns and tailored solutions for residential and architectural projects."
"Linden Workshops","lindenworkshops.com","US","Chicago","CANDIDATE A","NONE","2-NONE","Bought and renamed in 2024. A new owner is the easiest person in this vertical to sell a new capability to || NO DESIGN STEP AT ALL. Sell the capability itself, as a value-add their customers get and their competitors already offer. Confirm by eye first: search indexes tool pages, it does not prove absence","Three handmade lines (Bronzework Studio, Foundry Art, Talisman), a Where To Buy page, a featured-designer page. No tool surfaced","in scope","hand-verified priority on 14 Sept: PASS priority. Three handmade art tile lines: Bronzework Studio, Foundry Art, Talisman. All made in the US, sold through fine tile specialty shops in North America, UK, Japan and S","Decorative / Artisan Tile","TCNA","1M-5M","2-10 employees","Glass, Ceramics and Concrete Manufacturing","Makers of handmade art tile, including Talisman, Foundry Art and Bronzework Studio."
"Marburger Tapetenfabrik J.B. Schaefer GmbH & Co. KG","marburg.com","DE","Kirchhain","CANDIDATE A","NONE","2-NONE","1845, 290 people, collections by named international designers, and the customer journey still ends at posting a paper sample. Priority 1 || NO DESIGN STEP AT ALL. Sell the capability itself, as a value-add their customers get and their competitors already offer. Confirm by eye first: search indexes tool pages, it does not prove absence","Wallpaper search over 2,000 designs, EUR 1 samples, interactive digital catalogues. Browsing and sample ordering, no visualiser and no configurator","in scope","hand-verified priority on 14 Sept: PASS priority. One of Europe's oldest wallpaper makers, founded 1845, 290 employees, 100% made in Germany, and its collections are created by named international designers. Sells a","Murals & Wallcoverings","Heimtextil 2027","75M-200M","201-500 employees","Building Materials","Marburger Tapetenfabrik J.B. Schaefer GmbH & Co. KG is a building materials company based out of Bertram-Schaefer-Str. 11, Kirchhain, Kirchhain, Germany."
"Mediterra Tile","mediterratile.com","US","Tumacacori","CANDIDATE A","NONE","2-NONE","Confirms the 14 Sept read. A custom glaze palette with a 4-8 week lead time and nothing to preview against || NO DESIGN STEP AT ALL. Sell the capability itself, as a value-add their customers get and their competitors already offer. Confirm by eye first: search indexes tool pages, it does not prove absence","A static Glaze Palette page. Glazes applied by hand in small batches, an organic range of values and hues. 12+ years of custom tile. No tool surfaced","in scope","hand-verified priority on 14 Sept: PASS priority. Design, fabrication and distribution of artisan tile and mosaic. Extensive glaze palette offered for fully custom tile, 4-8 week lead times. A long lead time with a ","Decorative / Artisan Tile","TCNA","1M-5M","","",""
