"company","domain","domain_confidence","country","town","gate_flag","source","pre_flag","pre_flag_reason"
"Textiles Vilber S.L.","vilber.net","high","ES","Tavernes de la Valldigna","PASS","Heimtextil 2027","NEEDS EYES","PASS. 75+ years, supplies 60 countries, and manufactures fabrics, WALLPAPERS and vinyl flooring for home and contract decoration. The wallpaper line puts it in scope. Confirm on the site whether wallpaper is a real design line or a small side range before prioritising"
"The Wallfashion House NV","grandecogroup.com","high","BE","Tielt","PASS priority","Heimtextil 2027","NEEDS EYES","PASS priority. This is Grandeco Wallfashion Group, founded 1978, Europe's largest wallpaper producer: 20 million rolls a year in more than 1,000 designs, ~EUR 150M turnover, 600+ people across ten European sites, sold in 88 countries. A thousand new designs a year is the largest design throughput on the whole wave-2 list. PE-backed by GIMV and Down2Earth, so a long cycle, but the pain is real"
"ALVA Surfaces/Wizard","alvasurfaces.com","high","US","San Antonio","FLAG gate 3","TCNA","NEEDS EYES","FLAG gate 3. Self-describes as distributor, importer AND manufacturer. Does manufacture its own Wizard, Bison Brick and Valletta ceramic lines, so it is not a pure middleman. TCNA slug is mtm-wizard-enterprise-llc, the legal name behind the ALVA brand."
"ARTO Brick & Tile","arto.com","high","US","Los Angeles","PASS","TCNA","NEEDS EYES","PASS. Founded 1966 by Arto Alajian, run by sons Armen and Vod. About 80 people handcrafting concrete, terracotta and ceramic tile and brick on site."
"American Glass Mosaics","americanglassmosaics.com","high","US","Spring Lake","PASS","TCNA","NEEDS EYES","PASS. Only large-scale US glass tile maker using 100% recycled glass. Founded 2013. Own factory. Clean gate 3 pass."
"American Restoration Tile, Inc.","restorationtile.com","high","US","Little Rock","PASS","TCNA","NEEDS EYES","PASS. Custom historical tile reproduction, 1860s-1940s patterns. Does restoration AND new construction custom work, so it clears the restoration-only exclusion in S7.4."
"Dunis Studios","dunisstudios.com","high","US","Wimberley","PASS priority","TCNA","NEEDS EYES","PASS priority. Designs and manufactures its own lines and sells through tile showrooms, which is the to-the-trade signal. Handmade ceramic, glass, mosaic and brick, 10-12 step process, 30+ years. Strong fit."
"Images In Tile USA, Inc. dba Bison Coating & Supply","imagesintile.com","high","US","Joplin","PASS","TCNA","NEEDS EYES","PASS. Full TCNA name resolved: Images In Tile USA, Inc. dba Bison Coating & Supply. Two businesses, two domains. imagesintile.com is the one that matters: custom tile murals, any image applied to ceramic, porcelain, stone or glass. bisoncoating.com is the dye-sublimation blanks supply arm, which is a supply company and off ICP. Use imagesintile.com."
"LIVDEN","livden.com","high","US","San Diego","PASS priority","TCNA","NEEDS EYES","PASS priority. Designs its own line of 50+ tile designs on upcycled post-consumer terrazzo bases, 65-100% recycled, made in the US. Designs in house and sells made-to-order. Strong fit."
"Linden Workshops","lindenworkshops.com","high","US","Chicago","PASS priority","TCNA","NEEDS EYES","PASS priority. Three handmade art tile lines: Bronzework Studio, Foundry Art, Talisman. All made in the US, sold through fine tile specialty shops in North America, UK, Japan and Scandinavia. Bought and renamed in 2024, so a new owner is likely open to new tooling."
"Malibu Ceramic Works","malibuceramicworks.com","high","US","Topanga","PASS","TCNA","NEEDS EYES","PASS. Founded 1979. Reproduces historic California tile: Malibu, Catalina, Hispano Moresque, Batchelder. Explicit tile murals and custom tile pages."
"McIntyre Tile, Inc.","mcintyretile.com","high","US","Healdsburg","PASS","TCNA","NEEDS EYES","PASS. Handmade ceramic tile in Healdsburg since 1972. Has a retailers page, so sells to the trade."
"Mediterra Tile","mediterratile.com","high","US","Tumacacori","PASS priority","TCNA","NEEDS EYES","PASS priority. Design, fabrication and distribution of artisan tile and mosaic. Extensive glaze palette offered for fully custom tile, 4-8 week lead times. A long lead time with a custom glaze choice is exactly the approval-wait the tool shortens."
"Quemere Designs","quemeredesigns.com","high","US","Middletown","PASS priority","TCNA","NEEDS EYES","PASS priority. Only handmade tile factory on the East Coast by its own claim, since 1987. 400+ shapes, 500+ glaze colours plus custom colours, every order custom glazed to one dye lot. The biggest combinatorial catalogue on this list and no configurator found. Best single TCNA candidate."
"StoneImpressions/Artisan Stone Tile","stoneimpressions.com","high","US","","PASS","TCNA","NEEDS EYES","PASS. Made-to-order pattern tile printed on natural stone, sold through showrooms across North America. Flat 2D patterns, which is the engine's native output. Artisan Stone Tile is its quick-ship sub-line."
"Syzygy Tileworks, Inc.","syzygytile.com","high","US","Silver City","PASS","TCNA","NEEDS EYES","PASS. Founded 1993, Josh and Carolyn White. Twenty artisans, hand cut and pressed, hand brushed glazes, every tile made to order."
"The Rookwood Pottery Co.","rookwood.com","high","US","Cincinnati","FLAG mixed 2D/3D","TCNA","NEEDS EYES","FLAG mixed 2D/3D. Since 1880, revived 2004, 88,000 sq ft plant. Sells both art pottery, which is 3D and excluded, and architectural tile, which qualifies. Has a dedicated Architectural Tile page. Pitch the tile division only."
"Tile by Design, LLC","tilebydesign.net","medium","US","Duncansville","PASS","TCNA","NEEDS EYES","PASS. Domain comes from the TCNA directory listing only. No independent confirmation of a live site appeared in search, so verify the domain resolves before spending credits. TCNA membership type Art Studio, products listed as Art Tile Pictures and Tile-Murals."
"Unique Design Solutions","uniquedesignsolutions.com","high","US","Phoenix","PASS, dedupe check","TCNA","NEEDS EYES","PASS, dedupe check. Own factory in Phoenix, TCNA Art Studio member, products span glazed ceramic, custom, glass, metallic, mosaic and glazed porcelain. Do not confuse with uniquedesignks.com, an unrelated Topeka KS flooring retailer. Its Uniquely Oceanside display board means an Oceanside Glasstile relationship, and Oceanside is already row 14 of wave 1, so dedupe before outreach."
"Whitehill Enterprises, LLC","whitehillenterprises.com","high","US","Joplin","FLAG gate 3","TCNA","NEEDS EYES","FLAG gate 3. Custom tile mosaic and mural design, but the service list includes project management and tile installation, and public art consulting. Design-led with an installation arm rather than a pure installer. Also note it is in Joplin MO, the same small city as Images In Tile, so check whether the two are related before treating them as separate accounts."
"Winsor Fireform, LLC","winsorfireform.com","high","US","Tumwater","FLAG criterion 1","TCNA","NEEDS EYES","FLAG criterion 1. Founded 1983. Manufactures custom porcelain enamel panels and graphic tile at full photographic fidelity, including Citi Field and Yankee Stadium murals. A genuine maker of flat custom work, but it sells into architects and public art commissions, so there is no customer-facing design step for the tool to sit on. Internal-efficiency pitch only."
"WILLIAM F. KEMPF & SON INC","williamkempf.com","high","US","Folcroft","FLAG criterion 2","TISE 2027","NEEDS EYES","FLAG criterion 2. Not stone despite the TISE hall: since 1886 this firm makes coco mats, recycled tire tiles and CUSTOM ENTRANCE MATS. A custom logo mat is genuinely a flat 2D custom product with a client approval step, so criterion 1 and 3 arguably hold and this is not an automatic drop. The question is criterion 2: whether the engine renders a coco or rubber mat usefully. Shahwaz's call, same class of question as the parked niches"
"AVANGARDE CERAMICHE","avangardeceramiche.com","medium","CN","Foshan","LIKELY OUT","Coverings 2027","LIKELY OUT","LIKELY OUT. An Italian-sounding brand operating out of Guangdong, supplying glazed and unglazed ceramic, floor, mosaic and porcelain tile. Domain came from a trade directory rather than a confirmed live site, so verify. Commodity supplier either way"
"Akgun Seramik/Dura-tiles","duratiles.com","high","TR","Istanbul","LIKELY OUT","Coverings 2027","LIKELY OUT","LIKELY OUT. Duratiles is the brand of Akgun Seramik: 380 million sq ft a year from five plants in Turkey and Bulgaria. Fixed-SKU volume porcelain with accessories, step treads and borders. Nothing a customer designs, so criterion 3 fails"
"Altura Stone","alturastoneandtile.com","high","US","Miami","LIKELY OUT","Coverings 2027","LIKELY OUT","LIKELY OUT. Its own strapline is Importer and Distributer of Natural Stone. Family owned since 2007, stocks marble, limestone, travertine, onyx and granite in 100,000+ sq ft of warehouse across Miami, Atlanta and Fairfield NJ and sells through dealers. Gate 3"
"Andean Stone Company- Simpatico Surfaces","andeanstonecompany.com","high","US","Hialeah","LIKELY OUT","Coverings 2027","LIKELY OUT","LIKELY OUT. The Miami sales, warehousing and logistics centre for Minera Roca Andina, a Peruvian quarry group, supplying travertine, limestone and marble from the high Andes. A distribution arm for a quarry. Gate 3 plus raw stone"
"Arts Co., Ltd","","none","CN","Dongguan","LIKELY OUT","Coverings 2027","LIKELY OUT","LIKELY OUT. Resolves to Dongguan Arts Co., Ltd, established 2002 near the Foshan ceramics base, making recycled glass mosaic, ceramics, cement products and terrazzo. No company website found, trade platforms and the Coverings listing only"
"Asia Dynasty Resources Pte Ltd","asiadynasty.com","high","SG","Singapore","LIKELY OUT","Coverings 2027","LIKELY OUT","LIKELY OUT. Registered 2014, describes itself as a supplier of premium tile, stone and mosaic that collaborates with mills in China and Malaysia. Singapore business records also class it as a tile contractor. Reseller plus contractor, gate 3 twice"
"Asia Pacific Ceramic","asiapacificceramic.com","high","IN","Morbi","LIKELY OUT","Coverings 2027","LIKELY OUT","LIKELY OUT. Established 2001 in Morbi, 10 million sq m a year on Italian lines, ~70% exported. Volume porcelain slabs and tiles to a catalogue. Criterion 3 fails"
"Bestview International Company","bestviewintl.com","high","US","Glenview","LIKELY OUT","Coverings 2027","LIKELY OUT","LIKELY OUT. Self-describes as manufacturer AND importer of natural stone: granite, marble, onyx, travertine, slate in 100+ colours, plus countertops, vanities and mosaics. Six-time MIA Pinnacle winner. Stone fabrication and import, not pattern design"
"BiQslab","biqslab.com.tr","high","TR","","LIKELY OUT","Coverings 2027","LIKELY OUT","LIKELY OUT. Bien's large-format slab brand, running 350-metre kilns. Volume slab production. No customer design step"
"Bluetone Ceramic","bluetoneceramic.com","high","IN","Morbi","LIKELY OUT","Coverings 2027","LIKELY OUT","LIKELY OUT. Established 2013, manufactures and exports porcelain floor tile from Morbi. Related entity Bluetone Impex is listed as a trader and wholesaler. Commodity catalogue"
"Cerámica Italia S.A","ceramicaitalia.com","high","CO","Cucuta","LIKELY OUT","Coverings 2027","LIKELY OUT","LIKELY OUT. Colombian maker with 30+ years and 1.3 million sq m a month of capacity aimed at large American orders. Volume catalogue for floors, walls and bathrooms"
"Cosa Marble Co.","cosamarble.com","high","US","","LIKELY OUT","Coverings 2027","LIKELY OUT","LIKELY OUT. A US wholesale distributor of marble, limestone and onyx. Worth one note: the range includes borders, MEDALLIONS and mosaics, and a medallion is a custom flat 2D design. But the company distributes rather than designs. Gate 3"
"E-CERAMIC","","unresolved","","","LIKELY OUT","Coverings 2027","LIKELY OUT","LIKELY OUT. Too generic to resolve. Searches collide with Eco Ceramica (ecoceramica.com), an unrelated 27-year Italian wall and floor tile maker. Do not use that domain for this row. Needs the Coverings exhibitor listing"
"Favorita Marmi e Graniti SpA","granitifavorita.com","high","IT","Lonigo","LIKELY OUT","Coverings 2027","LIKELY OUT","LIKELY OUT. Conterno family, 60 years, selects and processes marble, quartzite, granite, onyx and semi-precious stone slabs in the Vicenza marble district. Slab processing, no pattern design"
"Foshan Domogres Building Materials LTD.","dozanmosaic.com","medium","CN","Foshan","LIKELY OUT","Coverings 2027","LIKELY OUT","LIKELY OUT. Founded by Franki Lee, supplies glass, marble, pool, recycled glass and porcelain mosaic plus waterjet and decor tile. Exports mainly to the US, Canada and Ecuador. The operating site appears to be dozanmosaic.com rather than anything matching the registered name, so verify. Commodity mosaic supplier"
"Foshan Hengsheng New Material Co., Ltd.","hengxingmosaic.com","high","CN","Foshan","LIKELY OUT","Coverings 2027","LIKELY OUT","LIKELY OUT. Glass mosaic specialist since 2008, 2,000+ models with new items monthly, into hotels, pools and bathrooms. High SKU churn, no customer design step"
"Graiman CIA Ltda.","graiman.com","high","EC","Cuenca","LIKELY OUT","Coverings 2027","LIKELY OUT","LIKELY OUT. Founded 1992 with Ecuadorian capital, first technical porcelain producer in Ecuador and on the Pacific coast, now digital printing and large format. Producer and national distributor. Volume catalogue"
"HOMEE FOSHAN CO .LTD","homeemosaic.com","high","CN","Foshan","LIKELY OUT","Coverings 2027","LIKELY OUT","LIKELY OUT. Founded 2005, dedicated solely to R&D and production of mosaic tile, export focused into North and South America, Europe and Australia. Real mosaic manufacturer but a high-end catalogue supplier, not a design-to-approval business"
"Haussmann Natural Stone","haussmannstone.com","high","US","Hayward","LIKELY OUT","Coverings 2027","LIKELY OUT","LIKELY OUT. A distributor with 40+ limestone options in stock, offering custom solutions across North America. Limestone distribution. Gate 3 plus raw stone"
"Honor View Enterprise Co., Ltd.","","unresolved","TW","","LIKELY OUT","Coverings 2027","LIKELY OUT","LIKELY OUT. A Taiwanese tile supplier visible only in import records, shipping to The Tile Shop in Plymouth MN. Do NOT use honortile.com: that is Zibo Honor Ceramic, an unrelated Chinese maker. Needs the Coverings listing"
"IKAD X MUZZI TILE INDONESIA","ikad-intl.com","high","ID","Jakarta","LIKELY OUT","Coverings 2027","LIKELY OUT","LIKELY OUT. IKAD and MUZZI are two brands of an Indonesian porcelain manufacturer, designs developed by Italian and Chinese teams, in standard sizes from 12x24 to 32x32. Volume catalogue"
"IMEX INTERNATIONAL CO., LTD","imexinter.com","high","TH","Bangkok","LIKELY OUT","Coverings 2027","LIKELY OUT","LIKELY OUT. Founded 1994, produces glass, ceramic and porcelain tile on high-technology lines. Coverings lists it under decorative, glass, mosaic and porcelain tile. Volume producer"
"ITACA CERAMIC PRIVATE LIMITED","itaca.in","high","IN","Morbi","LIKELY OUT","Coverings 2027","LIKELY OUT","LIKELY OUT. Founded 2009 by Kiran Patel, promotes Italian-styled design into Indian homes, 200+ employees, large-format wall and floor tile and slabs. Volume catalogue"
"ITALMOSAICO","","unresolved","IT","","LIKELY OUT","Coverings 2027","LIKELY OUT","LIKELY OUT. Could not be resolved. Searches return unrelated Italian mosaic businesses: Fantini Mosaici, Orsoni Smalti, the Ravenna Mosaic Art School, Italian Mosaic Masters. Worth a second look from the Coverings listing, because an Italian mosaic house would be on-niche if it designs"
"Ibel","ibelceramics.com","medium","CN","Foshan","LIKELY OUT","Coverings 2027","LIKELY OUT","LIKELY OUT. Brand created in 2006 to supply ceramic tile and deco accessories to architects, builders and importers of building materials worldwide. Domain came from a summary rather than a confirmed live page. Supplier to importers, gate 3"
"Inno Stone","","unresolved","","","LIKELY OUT","Coverings 2027","LIKELY OUT","LIKELY OUT. No match after searching. Results collide with Inno Stickers (peel-and-stick), Innovation Stone & Tile and Stone Innovations, all unrelated. Needs the Coverings exhibitor listing"
"International Wholesale Tile, LLC","internationalwholesaletile.com","high","US","Palm City","LIKELY OUT","Coverings 2027","LIKELY OUT","LIKELY OUT. Trades as Tesoro. Supplies porcelain, ceramic and natural stone to retail floorcovering stores, design centres and specialty tile shops nationwide. The name states the business model. Gate 3"
"Intrend Tile","","none","US","Brea","FLAG no domain","Coverings 2027","NEEDS DOMAIN","FLAG no domain. Genuinely interesting and genuinely unreachable. A mosaic tile company in Southern California started by two friends from art school who wanted to make their own designer tiles, with an office and showroom at 272 Gemini Ave, Brea CA. That is an ICP profile. But it has no website: it sells through Amazon, Wayfair, Perigold, AllModern and Faire. Do NOT use intrend.co.in, an unrelated Indian wall-tile company. Needs a manual look or a phone call"
"Italica Tiles","italicatiles.com","high","IN","Morbi","LIKELY OUT","Coverings 2027","LIKELY OUT","LIKELY OUT. Formed 2004, one of India's leading suppliers and distributors of large-format wall and floor tile, exporting to 85+ countries. Supplier and distributor at volume"
"Keen Ocean Asia Ltd/NOVA Breeze SDN.BHD.","","unresolved","MY","","LIKELY OUT","Coverings 2027","LIKELY OUT","LIKELY OUT. Established 2002, manufactures glass, stone and metal mosaic and has exported to North America for 21+ years. No company website surfaced, only the Coverings listing. Commodity mosaic manufacturer"
"Keramicos","keramikos.com.ec","medium","EC","Cuenca","LIKELY OUT","Coverings 2027","LIKELY OUT","LIKELY OUT. Two things share this name in Cuenca and they matter differently. keramikos.com.ec is Keramikos S.A., the retail and distribution arm and Porcelanosa's Ecuador distributor, with boutiques in Cuenca, Guayaquil and Quito. The Coverings exhibitor is the producer group behind Ceramicas Rialto, Ecuaceramica and Italpisos. Either way it is distribution or volume production. Verify which entity the listing means"
"Keystone Tile","keystonetile.com","high","US","Houston","LIKELY OUT","Coverings 2027","LIKELY OUT","LIKELY OUT. Runs a 300,000 sq ft Houston showroom and warehouse plus 673,000 sq ft in Florida and 130,000 in Atlanta, selling porcelain, pavers, travertine, marble and pool coping. Warehouse and showroom distribution. Gate 3"
"LAXVEER CERAMIC LLP","","none","IN","Morbi","LIKELY OUT","Coverings 2027","LIKELY OUT","LIKELY OUT. Incorporated Dec 2016 in Morbi, makes glazed porcelain tile and granite slab, also trades as LV Granito. Its own company registration records list the website as Not Available, so this is a confirmed no-site row, not a failed search. Commodity producer"
"Lourdes SPL Argentina","ceramica-lourdes.com.ar","medium","AR","","LIKELY OUT","Coverings 2027","LIKELY OUT","LIKELY OUT. Industrias Ceramicas Lourdes, wholly Argentine, 25 years, the first Argentine and second Latin American company to run a digital production line. SPL is its San Pietro Laminas product. Digital printing at volume, still a catalogue"
"MG Surfaces Limited","","unresolved","","","LIKELY OUT","Coverings 2027","LIKELY OUT","LIKELY OUT. No company of this exact name found. Nearby names are all different companies: MMG Tile & Stone (mmgmarble.com), MG Stone Surface (mgstone-surface.com), Marble & Granite Designs UK (mgduk.com). Do not assume any of them. Needs the Coverings listing"
"Marmotech, S.A.","","unresolved","","","LIKELY OUT","Coverings 2027","LIKELY OUT","LIKELY OUT. Four unrelated companies use this name, in the Dominican Republic (marmotech.com.do), Turkey (marmotech.com.tr), Saudi Arabia (marmotech.co) and Egypt with US operations (marmotech-us.com). Cannot be pinned without the Coverings listing. All of them extract, cut, polish or distribute marble, so the row fails gate 3 whichever it is"
"Natamar","natamar.com","high","TR","Denizli","LIKELY OUT","Coverings 2027","LIKELY OUT","LIKELY OUT. 25 years producing travertine from Denizli, selling to chains and wholesalers in 30+ countries. Travertine production plus wholesale. Raw stone, gate 3"
"PADUA CERAMICS PTE. LTD.","","unresolved","SG","Singapore / Foshan","LIKELY OUT","Coverings 2027","LIKELY OUT","LIKELY OUT. Registered in Singapore in Sept 2019, principal activity recorded as wholesale of structural clay and concrete products, operating out of Foshan. Designs and produces porcelain stoneware for commercial, public and residential space but has no findable website, only an Instagram. Wholesale, gate 3"
"PORCEMALL USA","porcemall.com","high","US","Deerfield Beach","LIKELY OUT","Coverings 2027","LIKELY OUT","LIKELY OUT. Founded 2002, US arm since 2014, a distributor of floor and wall tile imported from Europe and Asia, sold through 500+ authorised stores in Florida. Gate 3"
"PT. Sun Power Ceramics","sunpower.id","high","ID","Mojokerto, East Java","LIKELY OUT","Coverings 2027","LIKELY OUT","LIKELY OUT. Since 2010, a benchmark in marble-effect ceramic surfaces on Italian technology, five finishes, standard colour families. Volume catalogue"
"Pavit Ceramics","pavits.com","high","IN","Ahmedabad","LIKELY OUT","Coverings 2027","LIKELY OUT","LIKELY OUT. Established 1989, India's largest full-body porcelain maker, brands PAVITS and VICTORY, present in 40 countries. Already runs a tile visualizer, so it belongs in the has-a-configurator note, but the product is a fixed catalogue so criterion 3 still fails"
"QUA","qua.com.tr","high","TR","Aydin","LIKELY OUT","Coverings 2027","LIKELY OUT","LIKELY OUT. QUA Granite started production in 2016 and now runs Turkey's largest technical-granite-only plant at 41 million sq m a year with 1,000+ employees, exporting to 100+ countries. Pure volume. Criterion 3 fails"
"Qingdao Century Import & Export Co., Ltd","qdcentury.com","high","CN","Qingdao","LIKELY OUT","Coverings 2027","LIKELY OUT","LIKELY OUT. Established 2005, exports slabs, tile, mosaic, countertops, vanity tops, sinks and landscape stone, working with dozens of partner factories in Xiamen plus two of its own in Shandong. The name is the business model. Gate 3"
"SAXOLIA by italcrafts","saxolia.it","high","IT","Fiorano Modenese","LIKELY OUT","Coverings 2027","LIKELY OUT","LIKELY OUT. Saxolia is the house brand Italcrafts launched into North America in 2021. Italcrafts itself, since 1976, is a TRADING company in tiles and furnishing accessories and the market leader in Africa and the Caribbean. A trader with a private label. Gate 3"
