"company","website","domain","domain_confidence","country","town","niche","source","stand","generic_email","also_trading_as","pre_flag","pre_flag_reason","row_type","wave"
"Malibu Ceramic Works","https://malibuceramicworks.com","malibuceramicworks.com","high","US","Topanga","Decorative / Artisan Tile","TCNA","","","","NEEDS EYES","PASS. Founded 1979. Reproduces historic California tile: Malibu, Catalina, Hispano Moresque, Batchelder. Explicit tile murals and custom tile pages.","new","wave2"
"McIntyre Tile, Inc.","https://mcintyretile.com","mcintyretile.com","high","US","Healdsburg","Decorative / Artisan Tile","TCNA","","","","NEEDS EYES","PASS. Handmade ceramic tile in Healdsburg since 1972. Has a retailers page, so sells to the trade.","new","wave2"
"Mediterra Tile","https://mediterratile.com","mediterratile.com","high","US","Tumacacori","Decorative / Artisan Tile","TCNA","","","","NEEDS EYES","PASS priority. Design, fabrication and distribution of artisan tile and mosaic. Extensive glaze palette offered for fully custom tile, 4-8 week lead times. A long lead time with a custom glaze choice is exactly the approval-wait the tool shortens.","new","wave2"
"Quemere Designs","https://quemeredesigns.com","quemeredesigns.com","high","US","Middletown","Decorative / Artisan Tile","TCNA","","","","NEEDS EYES","PASS priority. Only handmade tile factory on the East Coast by its own claim, since 1987. 400+ shapes, 500+ glaze colours plus custom colours, every order custom glazed to one dye lot. The biggest combinatorial catalogue on this list and no configurator found. Best single TCNA candidate.","new","wave2"
"StoneImpressions/Artisan Stone Tile","https://stoneimpressions.com","stoneimpressions.com","high","US","","Decorative / Artisan Tile","TCNA","","","","NEEDS EYES","PASS. Made-to-order pattern tile printed on natural stone, sold through showrooms across North America. Flat 2D patterns, which is the engine's native output. Artisan Stone Tile is its quick-ship sub-line.","new","wave2"
"Syzygy Tileworks, Inc.","https://syzygytile.com","syzygytile.com","high","US","Silver City","Decorative / Artisan Tile","TCNA","","","","NEEDS EYES","PASS. Founded 1993, Josh and Carolyn White. Twenty artisans, hand cut and pressed, hand brushed glazes, every tile made to order.","new","wave2"
"The Rookwood Pottery Co.","https://rookwood.com","rookwood.com","high","US","Cincinnati","Decorative / Artisan Tile","TCNA","","","","NEEDS EYES","FLAG mixed 2D/3D. Since 1880, revived 2004, 88,000 sq ft plant. Sells both art pottery, which is 3D and excluded, and architectural tile, which qualifies. Has a dedicated Architectural Tile page. Pitch the tile division only.","new","wave2"
"The Tileworks of Bucks County","https://thetileworks.org","thetileworks.org","high","US","Doylestown","Decorative / Artisan Tile","TCNA","","","","EXCLUDE","EXCLUDE. Operates the historic Moravian Pottery and Tile Works as a 501c3 non-profit museum with tours, classes and workshops. Hits two S7.4 exclusions at once: nonprofit/institutional buyer and teaching studio. It does sell design, fabrication and installation services, but the buyer type is wrong for a paid commercial tool.","new","wave2"
"Tile by Design, LLC","https://tilebydesign.net","tilebydesign.net","medium","US","Duncansville","Decorative / Artisan Tile","TCNA","","","","NEEDS EYES","PASS. Domain comes from the TCNA directory listing only. No independent confirmation of a live site appeared in search, so verify the domain resolves before spending credits. TCNA membership type Art Studio, products listed as Art Tile Pictures and Tile-Murals.","new","wave2"
"Unique Design Solutions","https://uniquedesignsolutions.com","uniquedesignsolutions.com","high","US","Phoenix","Decorative / Artisan Tile","TCNA","","","","NEEDS EYES","PASS, dedupe check. Own factory in Phoenix, TCNA Art Studio member, products span glazed ceramic, custom, glass, metallic, mosaic and glazed porcelain. Do not confuse with uniquedesignks.com, an unrelated Topeka KS flooring retailer. Its Uniquely Oceanside display board means an Oceanside Glasstile relationship, and Oceanside is already row 14 of wave 1, so dedupe before outreach.","new","wave2"
"Whitehill Enterprises, LLC","https://whitehillenterprises.com","whitehillenterprises.com","high","US","Joplin","Decorative / Artisan Tile","TCNA","","","","NEEDS EYES","FLAG gate 3. Custom tile mosaic and mural design, but the service list includes project management and tile installation, and public art consulting. Design-led with an installation arm rather than a pure installer. Also note it is in Joplin MO, the same small city as Images In Tile, so check whether the two are related before treating them as separate accounts.","new","wave2"
"Winsor Fireform, LLC","https://winsorfireform.com","winsorfireform.com","high","US","Tumwater","Decorative / Artisan Tile","TCNA","","","","NEEDS EYES","FLAG criterion 1. Founded 1983. Manufactures custom porcelain enamel panels and graphic tile at full photographic fidelity, including Citi Field and Yankee Stadium murals. A genuine maker of flat custom work, but it sells into architects and public art commissions, so there is no customer-facing design step for the tool to sit on. Internal-efficiency pitch only.","new","wave2"
