"company","domain","alt_domain","city","state","country","confidence","gate_flag","research_note"
"International Wholesale Tile, LLC","internationalwholesaletile.com","","Palm City","FL","US","high","LIKELY OUT","Trades as Tesoro. Supplies porcelain, ceramic and natural stone to retail floorcovering stores, design centres and specialty tile shops nationwide. The name states the business model. Gate 3"
"Intrend Tile","","","Brea","CA","US","none","FLAG no domain","Genuinely interesting and genuinely unreachable. A mosaic tile company in Southern California started by two friends from art school who wanted to make their own designer tiles, with an office and showroom at 272 Gemini Ave, Brea CA. That is an ICP profile. But it has no website: it sells through Amazon, Wayfair, Perigold, AllModern and Faire. Do NOT use intrend.co.in, an unrelated Indian wall-tile company. Needs a manual look or a phone call"
"ITACA CERAMIC PRIVATE LIMITED","itaca.in","","Morbi","","IN","high","LIKELY OUT","Founded 2009 by Kiran Patel, promotes Italian-styled design into Indian homes, 200+ employees, large-format wall and floor tile and slabs. Volume catalogue"
"Italica Tiles","italicatiles.com","","Morbi","","IN","high","LIKELY OUT","Formed 2004, one of India's leading suppliers and distributors of large-format wall and floor tile, exporting to 85+ countries. Supplier and distributor at volume"
"ITALMOSAICO","","","","","IT","unresolved","LIKELY OUT","Could not be resolved. Searches return unrelated Italian mosaic businesses: Fantini Mosaici, Orsoni Smalti, the Ravenna Mosaic Art School, Italian Mosaic Masters. Worth a second look from the Coverings listing, because an Italian mosaic house would be on-niche if it designs"
"Jeffrey Court","jeffreycourt.com","","Norco","CA","US","high","PASS priority","Started in 1991 by Jim and Janice Lawson as a HAND-PAINTED tile business and still describes itself as producing high-end decorative mosaic tile, 30+ years on, distributing nationally from Norco CA. Founder-led, decorative, mosaic. Competitor conflict with MEC, so walkthrough CTA, no tool link"
"Jerusalem Heights","jerusalemheights.com","","Milford","CT","US","high","PASS","A producer and manufacturer of natural stone mosaic tile, premium marble mosaics for backsplashes, shower floors and walls. Makes its own mosaics in Connecticut. On-niche and on-medium. Competitor conflict with MEC, so walkthrough CTA"
"Keen Ocean Asia Ltd/NOVA Breeze SDN.BHD.","","","","","MY","unresolved","LIKELY OUT","Established 2002, manufactures glass, stone and metal mosaic and has exported to North America for 21+ years. No company website surfaced, only the Coverings listing. Commodity mosaic manufacturer"
"Keramicos","keramikos.com.ec","","Cuenca","","EC","medium","LIKELY OUT","Two things share this name in Cuenca and they matter differently. keramikos.com.ec is Keramikos S.A., the retail and distribution arm and Porcelanosa's Ecuador distributor, with boutiques in Cuenca, Guayaquil and Quito. The Coverings exhibitor is the producer group behind Ceramicas Rialto, Ecuaceramica and Italpisos. Either way it is distribution or volume production. Verify which entity the listing means"
"Keystone Tile","keystonetile.com","","Houston","TX","US","high","LIKELY OUT","Runs a 300,000 sq ft Houston showroom and warehouse plus 673,000 sq ft in Florida and 130,000 in Atlanta, selling porcelain, pavers, travertine, marble and pool coping. Warehouse and showroom distribution. Gate 3"
"LAXVEER CERAMIC LLP","","","Morbi","","IN","none","LIKELY OUT","Incorporated Dec 2016 in Morbi, makes glazed porcelain tile and granite slab, also trades as LV Granito. Its own company registration records list the website as Not Available, so this is a confirmed no-site row, not a failed search. Commodity producer"
"Lourdes SPL Argentina","ceramica-lourdes.com.ar","","","","AR","medium","LIKELY OUT","Industrias Ceramicas Lourdes, wholly Argentine, 25 years, the first Argentine and second Latin American company to run a digital production line. SPL is its San Pietro Laminas product. Digital printing at volume, still a catalogue"
"Marazzi/American Olean","marazziusa.com","americanolean.com","Dallas","TX","US","high","FLAG enterprise","Two brands, both Dal-Tile and therefore Mohawk: Marazzi since 1935, American Olean since 1923. Genuine design operations but a 200+ enterprise, which per the S7.4 decision-maker table means a Head of Design or digital lead and a long cycle. Tag separately and deprioritise rather than drop"
"Marmotech, S.A.","","","","","","unresolved","LIKELY OUT","Four unrelated companies use this name, in the Dominican Republic (marmotech.com.do), Turkey (marmotech.com.tr), Saudi Arabia (marmotech.co) and Egypt with US operations (marmotech-us.com). Cannot be pinned without the Coverings listing. All of them extract, cut, polish or distribute marble, so the row fails gate 3 whichever it is"
"Maruman Shokai. Co., Ltd.","tile-maruman.com","","Tajimi","","JP","high","PASS priority","Founded 1931 by Manzo Kato, incorporated 1957, in Tajimi, the centre of Japanese tile production. 65+ years making porcelain MOSAIC tile, 100% made in Japan, local mineral clays, natural glazes, 24-hour firing, with Majolica and Deco named lines. A real artisan mosaic maker with named collections. Competitor conflict with MEC, so walkthrough CTA"
"Maxfato","maxfato.com","","Foshan","","CN","high","FLAG","Stands out from the other Foshan rows: it describes itself as DESIGNING and producing mosaics and tiles for clients, with commercial offices in Spain, Mexico, Australia and Brazil alongside the Foshan HQ and showroom. Range spans metal, porcelain, natural stone, engineered stone and craft glass. 'For clients' suggests project and custom work. Worth a site read"
"MG Surfaces Limited","","","","","","unresolved","LIKELY OUT","No company of this exact name found. Nearby names are all different companies: MMG Tile & Stone (mmgmarble.com), MG Stone Surface (mgstone-surface.com), Marble & Granite Designs UK (mgduk.com). Do not assume any of them. Needs the Coverings listing"
"Natamar","natamar.com","","Denizli","","TR","high","LIKELY OUT","25 years producing travertine from Denizli, selling to chains and wholesalers in 30+ countries. Travertine production plus wholesale. Raw stone, gate 3"
"NG Kutahya Seramik","ngkutahyaseramik.com.tr","","Kutahya","","TR","medium","LIKELY OUT","Part of NG Group, interior and exterior ceramic across many models and sizes, sold to architects, builders and designers. Domain from a summary rather than a confirmed page, so verify. Volume catalogue"
"PADUA CERAMICS PTE. LTD.","","","Singapore / Foshan","","SG","unresolved","LIKELY OUT","Registered in Singapore in Sept 2019, principal activity recorded as wholesale of structural clay and concrete products, operating out of Foshan. Designs and produces porcelain stoneware for commercial, public and residential space but has no findable website, only an Instagram. Wholesale, gate 3"
"Pavigres Ceramicas, S.A.","pavigres.com","","Aguim, Anadia","","PT","high","LIKELY OUT","Founded 1978 by Oswaldo Martins, merged with Grespor and Cerev in 2004. Portuguese volume wall and floor tile. Catalogue production"
"Pavit Ceramics","pavits.com","","Ahmedabad","","IN","high","LIKELY OUT","Established 1989, India's largest full-body porcelain maker, brands PAVITS and VICTORY, present in 40 countries. Already runs a tile visualizer, so it belongs in the has-a-configurator note, but the product is a fixed catalogue so criterion 3 still fails"
"PORCEMALL USA","porcemall.com","","Deerfield Beach","FL","US","high","LIKELY OUT","Founded 2002, US arm since 2014, a distributor of floor and wall tile imported from Europe and Asia, sold through 500+ authorised stores in Florida. Gate 3"
"PT. Sun Power Ceramics","sunpower.id","","Mojokerto, East Java","","ID","high","LIKELY OUT","Since 2010, a benchmark in marble-effect ceramic surfaces on Italian technology, five finishes, standard colour families. Volume catalogue"
"Qingdao Century Import & Export Co., Ltd","qdcentury.com","","Qingdao","","CN","high","LIKELY OUT","Established 2005, exports slabs, tile, mosaic, countertops, vanity tops, sinks and landscape stone, working with dozens of partner factories in Xiamen plus two of its own in Shandong. The name is the business model. Gate 3"
"QUA","qua.com.tr","","Aydin","","TR","high","LIKELY OUT","QUA Granite started production in 2016 and now runs Turkey's largest technical-granite-only plant at 41 million sq m a year with 1,000+ employees, exporting to 100+ countries. Pure volume. Criterion 3 fails"
"Roca / Lamosa USA","rocatileusa.com","","Miami","FL","US","high","FLAG enterprise","Roca Tile's tile division was bought by Grupo Lamosa in Sept 2021 and the two run together as ROCA TILE USA and LAMOSA USA, with design studios and showrooms in Miami, Chicago and New York. 100+ years of manufacturing and distribution. Same call as Marazzi: real design operation, enterprise buyer, long cycle, deprioritise rather than drop"
"SAXOLIA by italcrafts","saxolia.it","italcrafts.it","Fiorano Modenese","","IT","high","LIKELY OUT","Saxolia is the house brand Italcrafts launched into North America in 2021. Italcrafts itself, since 1976, is a TRADING company in tiles and furnishing accessories and the market leader in Africa and the Caribbean. A trader with a private label. Gate 3"
"Seed Decorative Material Co., Ltd.","","","Foshan","","CN","none","LIKELY OUT","Established Nov 2002 in Shunde, Foshan, manufactures crystal mosaic at 450,000 sq m a year. No own website: Alibaba, Made-in-China and the Coverings listing only. Commodity manufacturer"
"Shanghai Tongchen Stone Co., Ltd.","tongchenstone.com","","Shanghai","","CN","medium","LIKELY OUT","One of China's leading white marble suppliers and exporters, four production bases in Shanghai, Sichuan, Fujian and Jiangsu Yixing. Domain from a summary, verify. Raw stone export"
"Stone Partnership Inc","stonepartnership.com","","Pennsauken","NJ","US","high","LIKELY OUT","40+ years as a wholesale distributor of natural stone, specialising in honed, antiqued and distressed material. Wholesale distribution. Gate 3"
"Stoneglass Srl.","stoneglass.it","","Casciana Terme Lari, Pisa","","IT","high","LIKELY OUT","Stoneglass is a crystallised glass-stone MATERIAL made in Tuscany, specified by architects for cladding, ventilated facades, flooring and marine use. A material brand, not a pattern designer"
"Stover's LLC","stoversliquidation.com","","","","US","high","LIKELY OUT","Describes itself as the largest stocking dealer of ceramic and porcelain tile, laminate and hardwood in the South, trading as Stover's Liquidation. A stocking dealer clearing inventory. Gate 3, and the liquidation model means no design step at all"
"StyleAccess","style-access.com","","Carrollton","TX","US","high","FLAG","The most arguable row on the list. An importer, DESIGNER and distributor that owns Lungarno Ceramics (2013, designer-led collections including handmade wall tile) and CommodiTile (2017), and says it is involved in all phases of the tile design process while sourcing production from Asia and Europe. So it designs but does not manufacture. Under the 24 Aug S7.4 pivot 'makes the product themselves' is no longer a hard gate, which means this row now qualifies on criteria 1 and 3 where it would have been dropped before the pivot. A clean test of whether the pivot was right"
"TAB Surfaces - Natural Stone and QUARTZ","tabindia.com","tabquartz.com","Hosur","","IN","high","LIKELY OUT","One of the largest natural stone and quartz processors in the world: granite, marble, slate, quartzite, sandstone, limestone plus the TABQUARTZ engineered line. Slab processing. No pattern"
"Tarmak USA","tarmakusa.com","","Tampa","FL","US","high","LIKELY OUT","Founded 2002 and states plainly that it is a DIRECT IMPORTER of natural stone tile, mosaic, tumbled stone, moulding, slabs and trim, bringing containers from Turkey, Italy and China into Tampa inventory. Gate 3"
"Tendenzza","","","","","MX","unresolved","LIKELY OUT","Tendenzza Pisos y Recubrimientos SA de CV, a Mexican porcelain tile brand sold through Azulemex, Surtidor and Construrama, with collections like Carrara, Nero, Imperia and Novara. No own corporate site found. Volume catalogue"
"Termal Seramik","termalseramik.com.tr","termalseramik.com","Sogut, Bilecik","","TR","high","LIKELY OUT","Founded 1995, reached 24 million sq m a year after 2018 investment, producing standard-size porcelain floor, wall and parquet tile. Pure volume"
"Terra Bella","terrabella.design","","Clifton","NJ","US","high","FLAG","Self-describes as manufacturer, importer AND US distributor of ceramic, stone and glass mosaic. All three roles in one sentence, so the maker share is unknown. Mosaic is on-niche and the company is small enough for the owner to be the buyer. Worth a site read rather than a drop"
"TIEIC Ceramics","tieic.com","","","PA","US","high","FLAG","A Pennsylvania-registered entity selling tile made in Morbi into North America, and the one commodity-adjacent row with a real design hook: it runs dedicated CUSTOM TILES and MOSAIC pages offering customisation of size, shape, colour and finish. That is criterion 1 and 3 on paper. The catch is that its stated customer is the North American IMPORTER, not an end customer, so confirm who actually makes the design choice"
"Tile Park Japan","tile-park.com","sg.tile-park.com","Kani, Gifu","","JP","medium","FLAG","A platform rather than a maker: it aggregates premium Japanese tile and supports designers with free samples and BIM data. TN Corporation manufactures porcelain in the same Gifu region and may be the operator. A specifier-facing marketplace could be a channel partner rather than a prospect. Only regional sites surfaced, so verify the primary domain"
"Travertini Paradiso Srl.","travertiniparadiso.com","gruppodei.it","Serre di Rapolano","","IT","medium","LIKELY OUT","Founded 1907-08, part of Gruppo Dei which the Dei family has owned since 1960, extracting and processing travertine in Rapolano Terme. Two domains appear for it, so confirm which is current. Quarrying and processing, no pattern"
"Trend Surplus Development, Ltd.","","","","","CN","unresolved","LIKELY OUT","Specialises in marble, glass, ceramic and metal mosaic and sells under the brand Chroma Mosaico. No own website surfaced, only a trade directory. Note the name collides with TREND Group (trend-group.com), a well-known and unrelated Italian mosaic house. Commodity mosaic supplier"
"Turkishceramics","turkishceramics.com","","Balgat, Ankara","","TR","high","EXCLUDE not a company","Not a prospect: Turkishceramics is the state-backed export promotion group for Turkish ceramic manufacturers, set up in 1997, representing 30+ member companies. There is nobody here to buy a tool. It is a SOURCING lead though, since its member directory is a free, pre-filtered list of Turkish tile makers"
"WINASA CERAMICA","winasaceramica.com","","Morbi","","IN","high","LIKELY OUT","20+ years in Morbi, manufactures and exports ceramic wall and floor tile, polished glazed vitrified, parking tile, slabs and sanitaryware. Sanitaryware is an explicit exclusion and the rest is commodity catalogue"
"X Ceramics Group","xceramics.com","","","","BD","high","LIKELY OUT","A leading player in Bangladesh's ceramic market selling premium Italian tile under the X Monica, X Monalisa and X Alexander brands, plus bathware. A brand portfolio over imported product. Gate 3"
"XIAMEN ELIN LANDO INDUSTRIAL CO.,LTD","elinlandomarble.com","","Xiamen","","CN","high","FLAG","Built by Portia Guo in 2013-14 and describes itself as a SPECIALTY MANUFACTURER of high-end natural stone mosaic, field tile and countertops, booked at Verona and Coverings. A small, founder-run mosaic maker rather than a trading house, which separates it from the other Xiamen rows. Tier 3 geography and stone rather than printed pattern are the arguments against"
"XIAMEN STONELINK IMP. & EXP. CO. , LTD","","","Xiamen","","CN","none","LIKELY OUT","12+ years as a stone project supplier offering a one-stop stone solution, 252 shipments to 33 buyers mainly in Indonesia, the US and Vietnam. No independent website: Alibaba and Facebook only. Import and export, gate 3"
"YUKARI CERAMICS","yukariceramics.com","","","","JP","high","PASS priority","Born from uniting Italian design culture with Japanese ceramic craftsmanship, and every tile is designed by hand by Japanese artisans. Note the geography: despite sitting in a Coverings row next to Turkish brands, this is Japanese and Italian, not Turkish. Hand-designed artisan tile with named collections. Competitor conflict with MEC on the tile side"
"Zaijian Mosaic","zaijianmosaic.com","","Chengdu","","CN","high","PASS","Founded 1993 and one of the pioneers that brought MOSAIC ART into home decoration, now a significant force in global mosaic, doing stone mosaic, art mosaic and lava. Art mosaic means commissioned custom work, which is the approval-wait the tool removes. Tier 3 geography and a direct MEC competitor, so walkthrough CTA"
