"company","domain","domain_confidence","country","town","gate_flag","source","pre_flag","pre_flag_reason"
"Textiles Vilber S.L.","vilber.net","high","ES","Tavernes de la Valldigna","PASS","Heimtextil 2027","NEEDS EYES","PASS. 75+ years, supplies 60 countries, and manufactures fabrics, WALLPAPERS and vinyl flooring for home and contract decoration. The wallpaper line puts it in scope. Confirm on the site whether wallpaper is a real design line or a small side range before prioritising"
"Tile by Design, LLC","tilebydesign.net","medium","US","Duncansville","PASS","TCNA","NEEDS EYES","PASS. Domain comes from the TCNA directory listing only. No independent confirmation of a live site appeared in search, so verify the domain resolves before spending credits. TCNA membership type Art Studio, products listed as Art Tile Pictures and Tile-Murals."
"Unique Design Solutions","uniquedesignsolutions.com","high","US","Phoenix","PASS, dedupe check","TCNA","NEEDS EYES","PASS, dedupe check. Own factory in Phoenix, TCNA Art Studio member, products span glazed ceramic, custom, glass, metallic, mosaic and glazed porcelain. Do not confuse with uniquedesignks.com, an unrelated Topeka KS flooring retailer. Its Uniquely Oceanside display board means an Oceanside Glasstile relationship, and Oceanside is already row 14 of wave 1, so dedupe before outreach."
"Zaijian Mosaic","zaijianmosaic.com","high","CN","Chengdu","PASS","Coverings 2027","NEEDS EYES","PASS. Founded 1993 and one of the pioneers that brought MOSAIC ART into home decoration, now a significant force in global mosaic, doing stone mosaic, art mosaic and lava. Art mosaic means commissioned custom work, which is the approval-wait the tool removes. Tier 3 geography and a direct MEC competitor, so walkthrough CTA"
"AIXIN TECH.CO., LTD","ralartmosaictile.com","high","CN","Foshan","FLAG","Coverings 2027","NEEDS EYES","FLAG. Trades as Ralart Mosaic, founded 2011, renamed Aixin Technology in Oct 2024. Range includes mosaic ARTS and mosaic MURALS alongside commodity glass and ceramic mosaic, so unlike most Foshan rows there is a custom-design side. Tier 3 geography and a supplier model pull the other way. Check whether mosaic art is a real commissioned line or a catalogue"
"ALVA Surfaces/Wizard","alvasurfaces.com","high","US","San Antonio","FLAG gate 3","TCNA","NEEDS EYES","FLAG gate 3. Self-describes as distributor, importer AND manufacturer. Does manufacture its own Wizard, Bison Brick and Valletta ceramic lines, so it is not a pure middleman. TCNA slug is mtm-wizard-enterprise-llc, the legal name behind the ALVA brand."
"Marazzi/American Olean","marazziusa.com","high","US","Dallas","FLAG enterprise","Coverings 2027","NEEDS EYES","FLAG enterprise. Two brands, both Dal-Tile and therefore Mohawk: Marazzi since 1935, American Olean since 1923. Genuine design operations but a 200+ enterprise, which per the S7.4 decision-maker table means a Head of Design or digital lead and a long cycle. Tag separately and deprioritise rather than drop"
"Maxfato","maxfato.com","high","CN","Foshan","FLAG","Coverings 2027","NEEDS EYES","FLAG. Stands out from the other Foshan rows: it describes itself as DESIGNING and producing mosaics and tiles for clients, with commercial offices in Spain, Mexico, Australia and Brazil alongside the Foshan HQ and showroom. Range spans metal, porcelain, natural stone, engineered stone and craft glass. 'For clients' suggests project and custom work. Worth a site read"
"Roca / Lamosa USA","rocatileusa.com","high","US","Miami","FLAG enterprise","Coverings 2027","NEEDS EYES","FLAG enterprise. Roca Tile's tile division was bought by Grupo Lamosa in Sept 2021 and the two run together as ROCA TILE USA and LAMOSA USA, with design studios and showrooms in Miami, Chicago and New York. 100+ years of manufacturing and distribution. Same call as Marazzi: real design operation, enterprise buyer, long cycle, deprioritise rather than drop"
"StyleAccess","style-access.com","high","US","Carrollton","FLAG","Coverings 2027","NEEDS EYES","FLAG. The most arguable row on the list. An importer, DESIGNER and distributor that owns Lungarno Ceramics (2013, designer-led collections including handmade wall tile) and CommodiTile (2017), and says it is involved in all phases of the tile design process while sourcing production from Asia and Europe. So it designs but does not manufacture. Under the 24 Aug S7.4 pivot 'makes the product themselves' is no longer a hard gate, which means this row now qualifies on criteria 1 and 3 where it would have been dropped before the pivot. A clean test of whether the pivot was right"
"TIEIC Ceramics","tieic.com","high","US","","FLAG","Coverings 2027","NEEDS EYES","FLAG. A Pennsylvania-registered entity selling tile made in Morbi into North America, and the one commodity-adjacent row with a real design hook: it runs dedicated CUSTOM TILES and MOSAIC pages offering customisation of size, shape, colour and finish. That is criterion 1 and 3 on paper. The catch is that its stated customer is the North American IMPORTER, not an end customer, so confirm who actually makes the design choice"
"Terra Bella","terrabella.design","high","US","Clifton","FLAG","Coverings 2027","NEEDS EYES","FLAG. Self-describes as manufacturer, importer AND US distributor of ceramic, stone and glass mosaic. All three roles in one sentence, so the maker share is unknown. Mosaic is on-niche and the company is small enough for the owner to be the buyer. Worth a site read rather than a drop"
"The Rookwood Pottery Co.","rookwood.com","high","US","Cincinnati","FLAG mixed 2D/3D","TCNA","NEEDS EYES","FLAG mixed 2D/3D. Since 1880, revived 2004, 88,000 sq ft plant. Sells both art pottery, which is 3D and excluded, and architectural tile, which qualifies. Has a dedicated Architectural Tile page. Pitch the tile division only."
"Tile Park Japan","tile-park.com","medium","JP","Kani, Gifu","FLAG","Coverings 2027","NEEDS EYES","FLAG. A platform rather than a maker: it aggregates premium Japanese tile and supports designers with free samples and BIM data. TN Corporation manufactures porcelain in the same Gifu region and may be the operator. A specifier-facing marketplace could be a channel partner rather than a prospect. Only regional sites surfaced, so verify the primary domain"
"WILLIAM F. KEMPF & SON INC","williamkempf.com","high","US","Folcroft","FLAG criterion 2","TISE 2027","NEEDS EYES","FLAG criterion 2. Not stone despite the TISE hall: since 1886 this firm makes coco mats, recycled tire tiles and CUSTOM ENTRANCE MATS. A custom logo mat is genuinely a flat 2D custom product with a client approval step, so criterion 1 and 3 arguably hold and this is not an automatic drop. The question is criterion 2: whether the engine renders a coco or rubber mat usefully. Shahwaz's call, same class of question as the parked niches"
"Whitehill Enterprises, LLC","whitehillenterprises.com","high","US","Joplin","FLAG gate 3","TCNA","NEEDS EYES","FLAG gate 3. Custom tile mosaic and mural design, but the service list includes project management and tile installation, and public art consulting. Design-led with an installation arm rather than a pure installer. Also note it is in Joplin MO, the same small city as Images In Tile, so check whether the two are related before treating them as separate accounts."
"Winsor Fireform, LLC","winsorfireform.com","high","US","Tumwater","FLAG criterion 1","TCNA","NEEDS EYES","FLAG criterion 1. Founded 1983. Manufactures custom porcelain enamel panels and graphic tile at full photographic fidelity, including Citi Field and Yankee Stadium murals. A genuine maker of flat custom work, but it sells into architects and public art commissions, so there is no customer-facing design step for the tool to sit on. Internal-efficiency pitch only."
"XIAMEN ELIN LANDO INDUSTRIAL CO.,LTD","elinlandomarble.com","high","CN","Xiamen","FLAG","Coverings 2027","NEEDS EYES","FLAG. Built by Portia Guo in 2013-14 and describes itself as a SPECIALTY MANUFACTURER of high-end natural stone mosaic, field tile and countertops, booked at Verona and Coverings. A small, founder-run mosaic maker rather than a trading house, which separates it from the other Xiamen rows. Tier 3 geography and stone rather than printed pattern are the arguments against"
