company,website,niche,niche_status,verdict,reason
Tempest Tileworks,tempesttileworks.com,Decorative/Artisan Tile,active,REVIEW,"Handmade small studio but sells 'four lines' - no explicit customer-choice language, sounds like a fixed set. Confirm before deciding"
Seneca Tiles,senecatiles.com,Decorative/Artisan Tile,active,REVIEW,"Thin description explicitly includes 'importers' and no custom-offering language - confirm before deciding"
Derby Pottery & Tile,derbypottery.com,Decorative/Artisan Tile,active,KEEP,"REVISED per ICP pivot - explicit 'custom color requests possible' offering alongside stock colors"
Carreaux du Nord,carreauxdunord.com,Decorative/Artisan Tile,active,REVIEW,"Too thin - no explicit custom-offering language either way. Confirm before deciding"
Heritage Tile,heritagetile.com,Decorative/Artisan Tile,active,DROP,"Still drops under the revised ICP - explicit third-party brand distributor, matches your own wholesaler carve-out"
Clay Squared to Infinity,claysquared.com,Decorative/Artisan Tile,active,KEEP,"REVISED per ICP pivot - explicit 'Custom Terra Cotta Tiles' offering; revenue band 500K-1M still worth confirming before enrichment spend"
Ravenstone Tiles,ravenstonetiles.com,Decorative/Artisan Tile,active,REVIEW,"No description; Retail industry tag is a caution flag; revenue 500K-1M below floor"
RTK Studios,rtkstudios.com,Decorative/Artisan Tile,active,REVIEW,"No description, but Glass/Ceramics/Concrete Manufacturing industry tag is favorable"
Moore-Merkowitz Tile,mooremerkowitztile.com,Decorative/Artisan Tile,active,REVIEW,"Essentially no data at all - needs manual site check"
Tiles of Ezra,tilesofezra.com,Decorative/Artisan Tile,active,KEEP,"DUPLICATE resolved - same company as 'Tilesofezra' from Clay filter search pass 1 (identical domain). Was already in Abdullah's original seed list. Design house directing offshore production, revenue 5M-10M"
Popham Design,pophamdesign.com,Decorative/Artisan Tile,active,REVIEW,"No description in this export; revenue 0-500K is below floor - verify against live site before deciding"
Kibak Tile,kibaktile.com,Decorative/Artisan Tile,active,KEEP,"Hand-painted per-client customization explicit, trade clients (Marriott, Gensler, Hard Rock)"
Nazmiyal Collection,nazmiyalantiquerugs.com,Custom Rugs,parked,DROP,"Antique/vintage rug dealer - resale of existing pieces, not a manufacturer/customizer at all. Wrong model even under the revised ICP, and even if niche unparked"
The Rug Company,therugcompany.com,Custom Rugs,parked,PARKED,"Strong design+handmade signal - good candidate if/when rugs unparked"
ModernRugs.com,modernrugs.com,Custom Rugs,parked,PARKED,"Excellent bespoke/approval-workflow fit - strongest rug candidate if unparked"
Rug Artisan,rugartisan.com,Custom Rugs,parked,PARKED,"Strong custom/bespoke signal - good candidate if unparked"
The Perfect Rug,theperfectrug.com,Custom Rugs,parked,PARKED,"Mixed catalog+custom - moderate candidate if unparked"
Jubi Rugs,shop-jubi.com,Custom Rugs,parked,PARKED,"Strong bespoke+trade program signal - good candidate if unparked"
Contrado,contrado.com,Custom Rugs,parked,DROP,"Wrong-company enrichment match - resolved to 'Love Speech', an unrelated Australian fashion/apparel brand"
Judson Studios,judsonstudios.com,Stained Glass,parked,PARKED,"Strong custom/bespoke architectural glass signal - good candidate if unparked"
Willet Studios,willet-studios.com,Stained Glass,parked,PARKED,"Design+restoration combined (not restoration-only) - good candidate if unparked"
Franklin Art Glass,franklinartglass.com,Stained Glass,parked,REVIEW,"Mixed model - has custom capability but also a public hobbyist-supply retail showroom component"
Bovard Studio,bovardstudio.com,Stained Glass,parked,NOT_FOUND,"Clay enrichment failed - needs manual site check"
Shard Glass Studio,shardglassstudio.com,Stained Glass,parked,REVIEW,"No description available - needs manual site check"
TLC Stained Glass,tlcstainedglass.com,Stained Glass,parked,REVIEW,"Clay filler description, no real content; self-employed, revenue 0-500K"
Ian Leino Design,ianleino.com,Stained Glass,parked,DROP,"Wrong-company enrichment match - apparel/merchandise brand, unrelated to stained glass"
Splendor in the Glass,splendorintheglassstudio.com,Stained Glass,parked,NOT_FOUND,"Clay enrichment failed - needs manual site check"
Melissa Z Monroe Pottery,melissazmonroe.com,Custom Pottery/Ceramics,excluded,EXCLUDED,"3D output - niche explicitly excluded, engine can't render pottery regardless of ICP model"
Maria Monasterio Ceramic Studio,mariamonasterio.com,Custom Pottery/Ceramics,excluded,EXCLUDED,"3D tableware/dinnerware - niche explicitly excluded, engine can't render pottery regardless of ICP model"
Laima Ceramics,laimaceramics.com,Custom Pottery/Ceramics,excluded,EXCLUDED,"3D tableware - niche explicitly excluded, engine can't render pottery regardless of ICP model"
Front Avenue Pottery & Tile,frontavenuepotteryandtile.com,Custom Pottery/Ceramics,excluded,REVIEW,"Name includes 'Tile' alongside pottery - if they also do flat tile work, could cross into Decorative/Artisan Tile niche. No description to confirm"
Pottery & Poetry,potteryandpoetry.eu,Custom Pottery/Ceramics,excluded,EXCLUDED,"3D dinnerware/tableware - niche explicitly excluded, engine can't render pottery regardless of ICP model"
Clay Arts Vegas,clayartsvegas.com,Custom Pottery/Ceramics,excluded,EXCLUDED,"3D pottery/ceramics - niche explicitly excluded, engine can't render pottery regardless of ICP model"
Lakeside Pottery,lakesidepottery.com,Custom Pottery/Ceramics,excluded,EXCLUDED,"3D + explicitly a repair/restoration/conservation studio - double exclusion"
OWO Handmade Ceramics,owoceramics.com,Custom Pottery/Ceramics,excluded,NOT_FOUND,"Clay enrichment failed; niche excluded regardless"
Black Oak Art,blackoakart.com,Custom Pottery/Ceramics,excluded,EXCLUDED,"3D personalized mugs/dishware - niche explicitly excluded, engine can't render pottery regardless of ICP model"
Heath Ceramics,heathceramics.com,Ceramic Tile,active,REVIEW,"Design-forward manufacturer but no explicit customer-choice language in text given; sold via retail/showroom model. Confirm before deciding"
Clayhaus Ceramics,clayhausceramics.com,Ceramic Tile,active,NOT_FOUND,"Clay enrichment failed - needs manual site check"
Native Tile,nativetile.com,Ceramic Tile,active,REVIEW,"Thin/generic description, no clear customer-choice signal"
Zia Tile,ziatile.com,Ceramic Tile,active,REVIEW,"Essentially just a tagline, no content to gate on; Retail industry tag is a caution flag"
Look Walls & Interiors,lookwalls.com,Murals & Wallpaper,active,KEEP,"New from Clay filter search pass 1 - not a duplicate of seed. In-house design+manufacture, collaborative custom process"
Area Environments,areaenvironments.com,Murals & Wallpaper,active,KEEP,"New from Clay filter search pass 1 - not a duplicate of seed. User confirmed after site check"
Mosaic Studio (UK),mosaic-studio.co.uk,UNVERIFIED,active,FLAGGED,"New from Clay filter search pass 1 - not a duplicate of seed. User confirmed but description shows no tile/mosaic content anywhere - reads as generic branding/creative agency. Re-check before enrichment"
US Vinyl Manufacturing Corp,usvinyl.com,Murals & Wallpaper,active,KEEP,"New from Clay filter search pass 1 - not a duplicate of seed. Custom wallcovering manufacturer, major hospitality trade clients"
Kimia Tile,thekimiatile.com,Decorative/Artisan Tile,active,KEEP,"New from Clay filter search pass 1 - not a duplicate of seed. Small handmade tile studio, UAE Tier 1"
Bigmural Design Studio,bigmural.com,Murals & Wallpaper,active,KEEP,"New from Clay filter search pass 1 - not a duplicate of seed. Project-specific bespoke murals, small studio"
Jill Campion Handmade Tile Limited,jillcampion.com,Decorative/Artisan Tile,active,KEEP,"New from Clay filter search pass 1 - not a duplicate of seed. User confirmed after site check"
